D. Green,D. Jones,K. Thompson,Q. Cook,K. Durant,16
J. Jerebko,K. Looney,K. Thompson,Q. Cook,K. Durant,4
J. Jerebko,K. Looney,A. Iguodala,Q. Cook,K. Durant,6
J. Jerebko,K. Looney,A. Iguodala,Q. Cook,K. Durant,2
J. Jerebko,K. Looney,A. Iguodala,S. Livingston,K. Durant,2
J. Jerebko,K. Thompson,A. Iguodala,Q. Cook,K. Durant,0
J. Jerebko,A. Iguodala,S. Livingston,K. Thompson,D. Green,7
A. McKinnie,A. Iguodala,S. Livingston,K. Thompson,D. Green,4
A. McKinnie,K. Looney,S. Livingston,K. Thompson,D. Green,2
A. McKinnie,K. Looney,Q. Cook,K. Durant,D. Green,6
A. McKinnie,K. Looney,Q. Cook,K. Durant,K. Thompson,4
A. Iguodala,K. Looney,D. Green,K. Durant,K. Thompson,3
A. Iguodala,J. Bell,D. Green,K. Durant,K. Thompson,0
D. Jones,D. Green,Q. Cook,K. Thompson,K. Durant,14
K. Looney,D. Green,Q. Cook,K. Thompson,K. Durant,2
K. Looney,J. Jerebko,Q. Cook,K. Thompson,K. Durant,3
K. Looney,J. Jerebko,A. Iguodala,S. Livingston,K. Durant,0
K. Looney,J. Jerebko,A. Iguodala,S. Livingston,K. Durant,4
K. Looney,J. Jerebko,A. Iguodala,S. Livingston,K. Thompson,0
A. McKinnie,S. Livingston,D. Green,K. Thompson,A. Iguodala,6
A. McKinnie,S. Livingston,D. Green,K. Thompson,A. Iguodala,0
K. Durant,S. Livingston,D. Green,K. Thompson,A. Iguodala,2
K. Durant,S. Livingston,D. Green,K. Thompson,A. Iguodala,4
K. Durant,K. Looney,D. Green,K. Thompson,A. Iguodala,7
K. Durant,K. Looney,D. Green,K. Thompson,A. Iguodala,3
K. Durant,K. Looney,D. Green,K. Thompson,A. Iguodala,15
