R. Covington,T. Gibson,K. Towns,A. Wiggins,J. Teague,14,407
D. Rose,D. Šarić,K. Towns,A. Wiggins,J. Teague,6,127
D. Rose,D. Šarić,K. Towns,A. Wiggins,J. Teague,4,107
D. Rose,D. Šarić,G. Dieng,A. Wiggins,J. Teague,5,79
G. Dieng,T. Jones,D. Rose,D. Šarić,R. Covington,13,341
J. Teague,K. Towns,D. Rose,D. Šarić,R. Covington,2,120
J. Teague,K. Towns,T. Gibson,A. Wiggins,R. Covington,4,86
J. Teague,K. Towns,T. Gibson,A. Wiggins,R. Covington,5,95
J. Teague,K. Towns,T. Gibson,A. Wiggins,D. Rose,1,39
J. Teague,K. Towns,T. Gibson,A. Wiggins,D. Rose,1,37
J. Teague,K. Towns,T. Gibson,A. Wiggins,D. Rose,0,2
R. Covington,T. Gibson,K. Towns,A. Wiggins,J. Teague,5,217
D. Rose,T. Gibson,K. Towns,A. Wiggins,J. Teague,11,212
D. Rose,T. Gibson,K. Towns,A. Wiggins,J. Teague,4,164
D. Rose,G. Dieng,D. Šarić,A. Wiggins,J. Teague,8,127
R. Covington,G. Dieng,T. Jones,D. Rose,D. Šarić,4,136
J. Teague,G. Dieng,T. Jones,D. Rose,D. Šarić,0,13
J. Teague,K. Towns,A. Wiggins,D. Rose,D. Šarić,9,142
J. Teague,K. Towns,A. Wiggins,D. Rose,D. Šarić,6,85
J. Teague,K. Towns,A. Wiggins,D. Rose,D. Šarić,5,173
G. Dieng,T. Jones,A. Wiggins,D. Rose,D. Šarić,5,133
G. Dieng,T. Jones,J. Okogie,J. Nunnally,D. Šarić,0,38
