M. Brogdon,B. Lopez,K. Middleton,E. Bledsoe,G. Antetokounmpo,14,219
M. Brogdon,B. Lopez,K. Middleton,E. Bledsoe,G. Antetokounmpo,4,112
P. Connaughton,B. Lopez,K. Middleton,E. Bledsoe,G. Antetokounmpo,4,87
P. Connaughton,T. Maker,K. Middleton,E. Bledsoe,G. Antetokounmpo,2,68
P. Connaughton,T. Maker,T. Snell,E. Bledsoe,G. Antetokounmpo,4,126
P. Connaughton,T. Maker,T. Snell,M. Brogdon,G. Antetokounmpo,3,45
P. Connaughton,T. Maker,T. Snell,M. Brogdon,E. İlyasova,0,63
P. Connaughton,T. Snell,E. İlyasova,M. Brogdon,B. Lopez,2,72
S. Brown,T. Snell,E. İlyasova,M. Brogdon,B. Lopez,9,174
S. Brown,K. Middleton,E. İlyasova,M. Brogdon,B. Lopez,6,67
S. Brown,K. Middleton,G. Antetokounmpo,M. Brogdon,B. Lopez,3,85
S. Brown,K. Middleton,G. Antetokounmpo,E. Bledsoe,B. Lopez,3,42
S. Brown,K. Middleton,G. Antetokounmpo,E. Bledsoe,E. İlyasova,2,74
P. Connaughton,K. Middleton,G. Antetokounmpo,E. Bledsoe,E. İlyasova,5,91
P. Connaughton,K. Middleton,G. Antetokounmpo,E. Bledsoe,B. Lopez,6,87
P. Connaughton,M. Brogdon,G. Antetokounmpo,E. Bledsoe,B. Lopez,5,28
B. Lopez,M. Brogdon,K. Middleton,E. Bledsoe,G. Antetokounmpo,11,203
E. İlyasova,M. Brogdon,K. Middleton,E. Bledsoe,G. Antetokounmpo,4,92
E. İlyasova,P. Connaughton,K. Middleton,E. Bledsoe,G. Antetokounmpo,3,58
E. İlyasova,P. Connaughton,K. Middleton,E. Bledsoe,G. Antetokounmpo,4,53
T. Maker,P. Connaughton,K. Middleton,E. Bledsoe,G. Antetokounmpo,6,74
T. Maker,P. Connaughton,T. Snell,E. Bledsoe,G. Antetokounmpo,0,16
T. Maker,P. Connaughton,T. Snell,M. Brogdon,G. Antetokounmpo,9,187
T. Maker,P. Connaughton,T. Snell,M. Brogdon,G. Antetokounmpo,0,37
P. Connaughton,M. Brogdon,T. Maker,T. Snell,S. Brown,2,46
M. Dellavedova,M. Brogdon,T. Maker,T. Snell,S. Brown,0,32
M. Dellavedova,C. Wood,T. Maker,T. Snell,S. Brown,2,48
M. Dellavedova,C. Wood,J. Morris,T. Snell,S. Brown,3,81
M. Dellavedova,C. Wood,J. Morris,T. Maker,S. Brown,13,191
M. Dellavedova,C. Wood,J. Morris,T. Maker,S. Brown,14,322
