P. Siakam,J. Valančiūnas,K. Leonard,K. Lowry,D. Green,16
O. Anunoby,S. Ibaka,K. Leonard,K. Lowry,D. Green,6
O. Anunoby,S. Ibaka,K. Leonard,K. Lowry,D. Green,5
O. Anunoby,S. Ibaka,F. VanVleet,D. Wright,D. Green,5
O. Anunoby,S. Ibaka,F. VanVleet,D. Wright,C. Miles,0
O. Anunoby,F. VanVleet,D. Wright,S. Ibaka,C. Miles,12
P. Siakam,F. VanVleet,D. Wright,S. Ibaka,C. Miles,5
P. Siakam,K. Leonard,K. Lowry,S. Ibaka,C. Miles,2
P. Siakam,K. Leonard,K. Lowry,S. Ibaka,C. Miles,5
P. Siakam,K. Leonard,K. Lowry,J. Valančiūnas,C. Miles,1
P. Siakam,K. Leonard,K. Lowry,J. Valančiūnas,D. Green,8
P. Siakam,K. Leonard,K. Lowry,S. Ibaka,D. Green,1
P. Siakam,K. Leonard,F. VanVleet,S. Ibaka,D. Green,2
P. Siakam,K. Leonard,F. VanVleet,S. Ibaka,D. Green,2
D. Wright,K. Leonard,F. VanVleet,S. Ibaka,O. Anunoby,0
P. Siakam,D. Green,J. Valančiūnas,K. Leonard,K. Lowry,13
O. Anunoby,D. Green,J. Valančiūnas,K. Leonard,K. Lowry,0
O. Anunoby,D. Green,J. Valančiūnas,K. Leonard,K. Lowry,1
O. Anunoby,F. VanVleet,J. Valančiūnas,K. Leonard,K. Lowry,2
O. Anunoby,F. VanVleet,J. Valančiūnas,K. Leonard,K. Lowry,5
O. Anunoby,F. VanVleet,S. Ibaka,K. Leonard,K. Lowry,8
O. Anunoby,F. VanVleet,S. Ibaka,C. Miles,D. Wright,0
O. Anunoby,F. VanVleet,C. Miles,D. Wright,S. Ibaka,4
P. Siakam,F. VanVleet,C. Miles,D. Wright,S. Ibaka,6
P. Siakam,K. Lowry,C. Miles,D. Wright,S. Ibaka,0
P. Siakam,K. Lowry,D. Green,K. Leonard,S. Ibaka,2
F. VanVleet,K. Lowry,D. Green,K. Leonard,S. Ibaka,7
F. VanVleet,K. Lowry,D. Green,K. Leonard,S. Ibaka,0
F. VanVleet,D. Wright,O. Anunoby,G. Monroe,C. Miles,5
M. Richardson,D. Wright,L. Brown,G. Monroe,C. Miles,2
