J. Ennis,E. Gordon,C. Capela,J. Harden,P. Tucker,6,309
G. Clark,E. Gordon,C. Capela,J. Harden,P. Tucker,4,34
G. Clark,E. Gordon,C. Capela,J. Harden,P. Tucker,3,56
G. Clark,G. Green,C. Capela,J. Harden,P. Tucker,3,74
G. Clark,G. Green,I. Hartenstein,J. Harden,P. Tucker,9,171
G. Clark,G. Green,J. Ennis,J. Harden,P. Tucker,5,76
J. Ennis,M. Carter-Williams,G. Clark,C. Capela,E. Gordon,7,204
G. Green,M. Carter-Williams,G. Clark,C. Capela,E. Gordon,1,58
G. Green,J. Harden,P. Tucker,C. Capela,E. Gordon,5,45
G. Green,J. Harden,P. Tucker,C. Capela,E. Gordon,1,119
J. Ennis,J. Harden,P. Tucker,C. Capela,E. Gordon,3,70
J. Ennis,J. Harden,P. Tucker,C. Capela,E. Gordon,2,92
J. Ennis,J. Harden,P. Tucker,C. Capela,E. Gordon,9,132
P. Tucker,C. Capela,E. Gordon,J. Harden,J. Ennis,13,375
G. Clark,C. Capela,E. Gordon,J. Harden,J. Ennis,0,109
G. Clark,G. Green,P. Tucker,J. Harden,J. Ennis,5,119
G. Clark,G. Green,P. Tucker,J. Harden,J. Ennis,2,45
G. Clark,G. Green,P. Tucker,J. Harden,J. Ennis,5,68
G. Clark,G. Green,P. Tucker,J. Harden,J. Ennis,0,4
G. Green,C. Capela,E. Gordon,J. Harden,P. Tucker,5,105
G. Green,C. Capela,E. Gordon,J. Harden,P. Tucker,4,90
G. Green,C. Capela,E. Gordon,J. Harden,P. Tucker,2,35
G. Clark,C. Capela,E. Gordon,J. Harden,P. Tucker,5,153
G. Clark,C. Capela,E. Gordon,J. Harden,P. Tucker,5,136
J. Ennis,C. Capela,E. Gordon,J. Harden,P. Tucker,4,201
