R. Hood,D. Nwaba,C. Osman,C. Sexton,T. Thompson,12,309
J. Clarkson,D. Nwaba,C. Osman,C. Sexton,T. Thompson,0,34
J. Clarkson,K. Korver,L. Nance,C. Sexton,T. Thompson,0,56
J. Clarkson,K. Korver,L. Nance,C. Sexton,T. Thompson,2,74
J. Clarkson,K. Korver,L. Nance,A. Harrison,T. Thompson,10,171
J. Clarkson,K. Korver,L. Nance,A. Harrison,T. Thompson,5,76
J. Clarkson,K. Korver,A. Harrison,L. Nance,D. Nwaba,13,204
J. Clarkson,K. Korver,A. Harrison,L. Nance,D. Nwaba,2,58
J. Clarkson,K. Korver,A. Harrison,L. Nance,D. Nwaba,0,45
R. Hood,C. Osman,A. Harrison,L. Nance,D. Nwaba,4,119
R. Hood,C. Osman,C. Sexton,T. Thompson,D. Nwaba,2,70
R. Hood,C. Osman,C. Sexton,T. Thompson,L. Nance,6,92
R. Hood,C. Osman,C. Sexton,T. Thompson,D. Nwaba,7,132
R. Hood,D. Nwaba,C. Osman,T. Thompson,C. Sexton,14,375
R. Hood,D. Nwaba,C. Osman,T. Thompson,C. Sexton,4,109
J. Clarkson,D. Nwaba,C. Osman,T. Thompson,C. Sexton,6,119
J. Clarkson,L. Nance,C. Osman,T. Thompson,C. Sexton,4,45
J. Clarkson,L. Nance,K. Korver,T. Thompson,C. Sexton,1,68
J. Clarkson,D. Nwaba,K. Korver,T. Thompson,C. Sexton,1,4
L. Nance,C. Sexton,K. Korver,D. Nwaba,J. Clarkson,2,105
T. Thompson,C. Sexton,K. Korver,D. Nwaba,J. Clarkson,7,90
T. Thompson,A. Harrison,K. Korver,D. Nwaba,J. Clarkson,0,35
T. Thompson,A. Harrison,K. Korver,D. Nwaba,J. Clarkson,4,153
T. Thompson,R. Hood,C. Sexton,D. Nwaba,J. Clarkson,6,136
T. Thompson,R. Hood,C. Sexton,D. Nwaba,J. Clarkson,5,201
