M. Harkless,A. Aminu,J. Nurkić,C. McCollum,D. Lillard,14,384
E. Turner,A. Aminu,J. Nurkić,C. McCollum,D. Lillard,2,45
E. Turner,A. Aminu,J. Nurkić,C. McCollum,D. Lillard,7,121
E. Turner,Z. Collins,M. Leonard,C. McCollum,D. Lillard,1,31
E. Turner,Z. Collins,M. Leonard,S. Curry,D. Lillard,2,96
E. Turner,Z. Collins,M. Leonard,S. Curry,N. Stauskas,2,43
Z. Collins,S. Curry,M. Leonard,N. Stauskas,E. Turner,16,346
A. Aminu,C. McCollum,J. Nurkić,N. Stauskas,E. Turner,2,42
A. Aminu,C. McCollum,J. Nurkić,D. Lillard,E. Turner,0,17
A. Aminu,C. McCollum,J. Nurkić,D. Lillard,M. Harkless,12,315
M. Harkless,M. Leonard,C. McCollum,A. Aminu,D. Lillard,4,310
Z. Collins,E. Turner,C. McCollum,A. Aminu,D. Lillard,4,189
Z. Collins,E. Turner,S. Curry,A. Aminu,D. Lillard,2,15
Z. Collins,E. Turner,S. Curry,A. Aminu,D. Lillard,0,69
Z. Collins,E. Turner,S. Curry,M. Leonard,D. Lillard,6,137
Z. Collins,E. Turner,S. Curry,C. McCollum,D. Lillard,5,62
Z. Collins,E. Turner,S. Curry,C. McCollum,D. Lillard,4,162
M. Leonard,E. Turner,S. Curry,C. McCollum,D. Lillard,3,160
M. Leonard,A. Aminu,S. Curry,C. McCollum,D. Lillard,5,92
M. Leonard,A. Aminu,S. Curry,C. McCollum,D. Lillard,6,123
M. Leonard,A. Aminu,S. Curry,C. McCollum,D. Lillard,3,52
M. Leonard,A. Aminu,E. Turner,C. McCollum,D. Lillard,0,22
M. Leonard,A. Aminu,E. Turner,C. McCollum,D. Lillard,0,17
M. Leonard,A. Aminu,E. Turner,C. McCollum,D. Lillard,0,28
M. Leonard,A. Aminu,S. Curry,C. McCollum,D. Lillard,0,2
