J. Ennis,C. Capela,E. Gordon,P. Tucker,J. Harden,10,236
D. House,C. Capela,E. Gordon,P. Tucker,J. Harden,8,150
D. House,G. Clark,I. Hartenstein,P. Tucker,J. Harden,3,117
D. House,G. Clark,C. Capela,P. Tucker,J. Harden,0,12
D. House,G. Clark,C. Capela,P. Tucker,J. Harden,0,25
J. Ennis,G. Clark,C. Capela,P. Tucker,J. Harden,0,36
J. Ennis,G. Clark,C. Capela,E. Gordon,J. Harden,5,73
J. Ennis,G. Clark,C. Capela,E. Gordon,D. House,2,71
G. Clark,D. House,I. Hartenstein,E. Gordon,J. Ennis,3,81
P. Tucker,D. House,I. Hartenstein,E. Gordon,J. Ennis,2,21
P. Tucker,D. House,I. Hartenstein,E. Gordon,J. Ennis,1,42
P. Tucker,J. Harden,I. Hartenstein,E. Gordon,J. Ennis,0,4
P. Tucker,J. Harden,C. Capela,E. Gordon,J. Ennis,2,92
P. Tucker,J. Harden,G. Clark,E. Gordon,J. Ennis,5,140
P. Tucker,J. Harden,C. Capela,E. Gordon,J. Ennis,13,284
P. Tucker,J. Harden,C. Capela,E. Gordon,J. Ennis,2,56
J. Ennis,E. Gordon,P. Tucker,C. Capela,J. Harden,16,360
D. House,E. Gordon,P. Tucker,C. Capela,J. Harden,1,13
D. House,G. Clark,P. Tucker,C. Capela,J. Harden,3,40
D. House,G. Clark,P. Tucker,C. Capela,J. Harden,5,126
D. House,G. Clark,P. Tucker,C. Capela,J. Harden,0,46
D. House,J. Ennis,E. Gordon,C. Capela,J. Harden,8,135
D. House,J. Ennis,E. Gordon,J. Harden,P. Tucker,0,100
C. Capela,J. Ennis,E. Gordon,J. Harden,P. Tucker,6,180
C. Capela,G. Clark,D. House,J. Harden,P. Tucker,0,16
M. Carter-Williams,G. Clark,D. House,M. Chriss,I. Hartenstein,4,79
M. Carter-Williams,G. Clark,D. House,M. Chriss,I. Hartenstein,0,63
M. Carter-Williams,G. Clark,D. House,M. Chriss,I. Hartenstein,1,56
M. Carter-Williams,G. Clark,D. House,M. Chriss,I. Hartenstein,8,226
