J. Ennis,C. Paul,P. Tucker,C. Capela,J. Harden,9,278
E. Gordon,C. Paul,P. Tucker,C. Capela,J. Harden,10,69
E. Gordon,G. Green,P. Tucker,C. Capela,J. Harden,8,140
E. Gordon,G. Green,G. Clark,C. Capela,J. Harden,4,100
E. Gordon,G. Green,C. Paul,I. Hartenstein,P. Tucker,2,31
E. Gordon,G. Green,C. Paul,I. Hartenstein,P. Tucker,6,102
P. Tucker,J. Ennis,E. Gordon,C. Paul,D. House,0,54
P. Tucker,J. Ennis,E. Gordon,C. Paul,D. House,1,29
C. Capela,J. Ennis,E. Gordon,C. Paul,D. House,4,71
C. Capela,G. Clark,E. Gordon,C. Paul,D. House,0,46
C. Capela,G. Clark,J. Harden,C. Paul,D. House,11,125
C. Capela,G. Clark,J. Harden,G. Green,D. House,2,94
C. Capela,E. Gordon,J. Harden,G. Green,P. Tucker,2,116
C. Capela,E. Gordon,J. Harden,C. Paul,P. Tucker,11,185
J. Ennis,C. Paul,P. Tucker,C. Capela,J. Harden,15,248
J. Ennis,C. Paul,P. Tucker,C. Capela,J. Harden,2,61
E. Gordon,G. Green,P. Tucker,C. Capela,J. Harden,6,89
E. Gordon,G. Green,D. House,C. Capela,J. Harden,8,150
E. Gordon,G. Green,D. House,C. Paul,P. Tucker,6,57
E. Gordon,G. Green,D. House,C. Paul,M. Chriss,0,82
E. Gordon,G. Green,D. House,C. Paul,M. Chriss,3,33
E. Gordon,C. Paul,G. Clark,D. House,M. Chriss,7,191
M. Carter-Williams,G. Green,G. Clark,D. House,M. Chriss,7,207
M. Carter-Williams,G. Green,G. Clark,D. House,M. Chriss,1,9
M. Carter-Williams,G. Green,G. Clark,D. House,M. Chriss,11,259
M. Carter-Williams,I. Hartenstein,G. Clark,D. House,M. Chriss,0,54
