C. Paul,C. Capela,J. Ennis,P. Tucker,J. Harden,11,333
E. Gordon,C. Capela,J. Ennis,P. Tucker,J. Harden,8,97
E. Gordon,G. Green,N. Hilário,P. Tucker,J. Harden,2,118
E. Gordon,G. Green,N. Hilário,D. House,J. Harden,0,12
E. Gordon,G. Green,N. Hilário,D. House,C. Paul,3,56
E. Gordon,G. Green,N. Hilário,D. House,C. Paul,0,104
C. Paul,D. House,J. Ennis,E. Gordon,C. Capela,12,187
C. Paul,D. House,J. Ennis,E. Gordon,C. Capela,4,78
J. Harden,P. Tucker,J. Ennis,E. Gordon,C. Capela,6,123
J. Harden,P. Tucker,C. Paul,E. Gordon,C. Capela,0,23
J. Harden,P. Tucker,C. Paul,D. House,C. Capela,3,70
J. Harden,P. Tucker,C. Paul,E. Gordon,C. Capela,2,67
J. Harden,P. Tucker,C. Paul,E. Gordon,C. Capela,3,42
J. Harden,P. Tucker,C. Paul,E. Gordon,C. Capela,8,130
J. Ennis,C. Paul,C. Capela,P. Tucker,J. Harden,6,211
E. Gordon,C. Paul,C. Capela,P. Tucker,J. Harden,5,152
E. Gordon,G. Green,C. Capela,P. Tucker,J. Harden,3,95
E. Gordon,G. Green,N. Hilário,P. Tucker,J. Harden,0,42
E. Gordon,G. Green,N. Hilário,D. House,J. Harden,1,63
E. Gordon,G. Green,N. Hilário,D. House,C. Paul,5,157
D. House,N. Hilário,E. Gordon,C. Paul,J. Ennis,0,17
P. Tucker,N. Hilário,E. Gordon,C. Paul,J. Ennis,0,36
P. Tucker,C. Capela,E. Gordon,C. Paul,J. Ennis,0,24
P. Tucker,C. Capela,J. Harden,C. Paul,J. Ennis,0,98
P. Tucker,C. Capela,J. Harden,C. Paul,J. Ennis,0,129
P. Tucker,C. Capela,J. Harden,E. Gordon,J. Ennis,2,62
P. Tucker,C. Capela,J. Harden,E. Gordon,J. Ennis,0,12
P. Tucker,C. Capela,J. Harden,E. Gordon,J. Ennis,2,69
P. Tucker,C. Capela,J. Harden,E. Gordon,C. Paul,5,273
