B. Forbes,D. Cunningham,R. Gay,L. Aldridge,D. DeRozan,17,346
P. Mills,D. Cunningham,R. Gay,L. Aldridge,D. DeRozan,5,101
P. Mills,M. Belinelli,D. Bertāns,L. Aldridge,D. DeRozan,0,20
P. Mills,M. Belinelli,D. Bertāns,L. Aldridge,D. DeRozan,2,54
P. Mills,M. Belinelli,D. Bertāns,J. Poeltl,D. DeRozan,1,46
P. Mills,M. Belinelli,D. Bertāns,J. Poeltl,D. White,6,130
P. Mills,M. Belinelli,D. Bertāns,D. DeRozan,D. White,1,16
P. Mills,D. Cunningham,D. Bertāns,D. DeRozan,D. White,0,7
P. Mills,D. White,J. Poeltl,M. Belinelli,D. Cunningham,5,132
B. Forbes,R. Gay,J. Poeltl,M. Belinelli,D. Cunningham,4,63
B. Forbes,R. Gay,L. Aldridge,M. Belinelli,D. Cunningham,5,73
B. Forbes,R. Gay,L. Aldridge,D. DeRozan,D. Cunningham,0,34
B. Forbes,R. Gay,L. Aldridge,D. DeRozan,D. Cunningham,6,75
B. Forbes,R. Gay,J. Poeltl,D. DeRozan,D. Cunningham,0,34
P. Mills,R. Gay,J. Poeltl,D. DeRozan,D. Bertāns,5,112
P. Mills,R. Gay,J. Poeltl,D. DeRozan,D. Bertāns,0,36
P. Mills,R. Gay,J. Poeltl,D. DeRozan,M. Belinelli,3,57
P. Mills,R. Gay,J. Poeltl,D. DeRozan,M. Belinelli,8,104
B. Forbes,D. Cunningham,R. Gay,L. Aldridge,D. DeRozan,12,431
P. Mills,D. Cunningham,R. Gay,L. Aldridge,D. DeRozan,3,76
P. Mills,M. Belinelli,D. Bertāns,L. Aldridge,D. DeRozan,4,148
P. Mills,M. Belinelli,D. Bertāns,J. Poeltl,D. White,2,65
D. White,D. Cunningham,P. Mills,J. Poeltl,M. Belinelli,0,49
D. Bertāns,D. Cunningham,P. Mills,J. Poeltl,M. Belinelli,6,90
D. Bertāns,D. Cunningham,P. Mills,J. Poeltl,M. Belinelli,6,61
D. Bertāns,D. Cunningham,P. Mills,J. Poeltl,M. Belinelli,4,47
D. Bertāns,D. Cunningham,P. Mills,J. Poeltl,M. Belinelli,2,10
D. Bertāns,D. DeRozan,P. Mills,J. Poeltl,M. Belinelli,2,42
D. Bertāns,D. DeRozan,P. Mills,J. Poeltl,M. Belinelli,6,105
D. Bertāns,D. DeRozan,P. Mills,J. Poeltl,M. Belinelli,17,249
C. Metu,D. DeRozan,Q. Pondexter,D. White,M. Belinelli,1,67
