R. Arcidiacono,W. Carter,J. Holiday,Z. LaVine,L. Markkanen,0,273
S. Harrison,C. Hutchison,R. Lopez,J. Parker,C. Payne,0,75
S. Harrison,C. Hutchison,R. Lopez,J. Parker,C. Payne,6,121
S. Harrison,C. Hutchison,R. Lopez,J. Parker,C. Payne,7,137
S. Harrison,C. Hutchison,R. Lopez,J. Parker,C. Payne,2,64
S. Harrison,C. Hutchison,R. Lopez,J. Parker,C. Payne,2,50
W. Carter,L. Markkanen,Z. LaVine,R. Arcidiacono,J. Holiday,15,343
W. Carter,L. Markkanen,Z. LaVine,R. Arcidiacono,J. Holiday,1,37
J. Parker,L. Markkanen,Z. LaVine,R. Arcidiacono,J. Holiday,0,11
J. Parker,L. Markkanen,Z. LaVine,R. Arcidiacono,J. Holiday,2,58
J. Parker,L. Markkanen,Z. LaVine,R. Arcidiacono,J. Holiday,8,182
J. Parker,R. Lopez,Z. LaVine,R. Arcidiacono,J. Holiday,0,39
J. Parker,R. Lopez,S. Harrison,R. Arcidiacono,J. Holiday,0,50
R. Arcidiacono,W. Carter,J. Holiday,Z. LaVine,L. Markkanen,3,178
S. Harrison,C. Hutchison,R. Lopez,J. Parker,C. Payne,5,172
S. Harrison,C. Hutchison,R. Lopez,J. Parker,A. Blakeney,1,81
S. Harrison,C. Hutchison,C. Felício,J. Parker,A. Blakeney,4,144
S. Harrison,C. Payne,C. Felício,J. Parker,A. Blakeney,4,145
J. Parker,C. Felício,A. Blakeney,S. Harrison,C. Payne,9,284
C. Hutchison,C. Felício,A. Blakeney,S. Harrison,C. Payne,2,66
C. Hutchison,C. Felício,A. Blakeney,S. Harrison,C. Payne,6,370
