T. Satoranský,T. Bryant,O. Porter,A. Rivers,B. Beal,7,263
K. Oubre,T. Bryant,O. Porter,A. Rivers,B. Beal,5,159
K. Oubre,J. Green,M. Morris,A. Rivers,B. Beal,0,17
K. Oubre,J. Green,M. Morris,A. Rivers,B. Beal,5,62
K. Oubre,J. Green,M. Morris,A. Rivers,B. Beal,3,33
K. Oubre,J. Green,I. Mahinmi,A. Rivers,B. Beal,0,26
K. Oubre,J. Green,I. Mahinmi,A. Rivers,B. Beal,6,66
K. Oubre,J. Green,I. Mahinmi,A. Rivers,B. Beal,7,94
I. Mahinmi,T. Satoranský,A. Rivers,K. Oubre,J. Green,6,227
I. Mahinmi,T. Satoranský,A. Rivers,K. Oubre,J. Green,0,6
B. Beal,T. Bryant,A. Rivers,K. Oubre,J. Green,2,36
B. Beal,T. Bryant,T. Satoranský,K. Oubre,J. Green,0,10
B. Beal,T. Bryant,T. Satoranský,K. Oubre,J. Green,0,24
B. Beal,T. Bryant,T. Satoranský,K. Oubre,J. Green,0,14
B. Beal,T. Bryant,T. Satoranský,K. Oubre,J. Green,2,53
B. Beal,T. Bryant,T. Satoranský,K. Oubre,J. Green,7,233
B. Beal,T. Bryant,A. Rivers,K. Oubre,J. Green,0,117
T. Bryant,T. Satoranský,J. Green,B. Beal,A. Rivers,7,277
M. Morris,T. Satoranský,J. Green,B. Beal,A. Rivers,2,92
M. Morris,K. Oubre,J. Green,B. Beal,A. Rivers,3,107
M. Morris,K. Oubre,S. Dekker,B. Beal,A. Rivers,4,32
M. Morris,K. Oubre,S. Dekker,B. Beal,A. Rivers,2,56
M. Morris,K. Oubre,S. Dekker,B. Beal,A. Rivers,7,156
A. Rivers,S. Dekker,K. Oubre,M. Morris,B. Beal,6,126
A. Rivers,S. Dekker,K. Oubre,M. Morris,B. Beal,3,84
A. Rivers,S. Dekker,K. Oubre,M. Morris,B. Beal,3,60
T. Satoranský,S. Dekker,K. Oubre,M. Morris,B. Beal,6,111
T. Satoranský,J. Green,K. Oubre,M. Morris,B. Beal,8,339
