W. Chandler,J. Embiid,J. Redick,J. Butler,B. Simmons,21
T. McConnell,M. Muscala,L. Shamet,J. Butler,B. Simmons,7
T. McConnell,M. Muscala,L. Shamet,J. Butler,B. Simmons,4
T. McConnell,J. Embiid,F. Korkmaz,W. Chandler,J. Redick,0
W. Chandler,J. Redick,J. Embiid,T. McConnell,F. Korkmaz,6
M. Muscala,J. Redick,J. Embiid,T. McConnell,F. Korkmaz,6
M. Muscala,J. Redick,J. Embiid,T. McConnell,F. Korkmaz,1
M. Muscala,L. Shamet,J. Embiid,T. McConnell,F. Korkmaz,3
M. Muscala,L. Shamet,W. Chandler,B. Simmons,F. Korkmaz,0
M. Muscala,L. Shamet,W. Chandler,B. Simmons,J. Redick,0
J. Embiid,T. McConnell,W. Chandler,B. Simmons,J. Redick,0
J. Embiid,T. McConnell,W. Chandler,B. Simmons,J. Redick,0
J. Embiid,T. McConnell,W. Chandler,B. Simmons,J. Redick,0
W. Chandler,J. Redick,J. Embiid,L. Shamet,B. Simmons,10
W. Chandler,J. Redick,J. Embiid,L. Shamet,B. Simmons,6
F. Korkmaz,T. McConnell,J. Embiid,L. Shamet,B. Simmons,4
F. Korkmaz,T. McConnell,M. Muscala,L. Shamet,B. Simmons,6
F. Korkmaz,T. McConnell,M. Muscala,J. Embiid,J. Redick,3
F. Korkmaz,T. McConnell,M. Muscala,J. Embiid,J. Redick,0
F. Korkmaz,M. Muscala,T. McConnell,J. Embiid,J. Redick,12
W. Chandler,L. Shamet,T. McConnell,J. Embiid,J. Redick,0
W. Chandler,L. Shamet,B. Simmons,J. Embiid,J. Redick,4
W. Chandler,L. Shamet,B. Simmons,F. Korkmaz,M. Muscala,1
W. Chandler,L. Shamet,B. Simmons,F. Korkmaz,M. Muscala,5
W. Chandler,L. Shamet,B. Simmons,F. Korkmaz,J. Embiid,8
W. Chandler,J. Redick,B. Simmons,F. Korkmaz,J. Embiid,6
A. Johnson,S. Milton,M. Muscala,F. Korkmaz,T. McConnell,0
A. Johnson,S. Milton,M. Muscala,F. Korkmaz,T. McConnell,3
