T. Ferguson,J. Grant,R. Westbrook,S. Adams,P. George,16
D. Schröder,J. Grant,R. Westbrook,S. Adams,P. George,0
D. Schröder,J. Grant,R. Westbrook,S. Adams,P. George,7
D. Schröder,Á. Abrines,R. Westbrook,S. Adams,P. George,0
D. Schröder,Á. Abrines,J. Grant,S. Adams,P. George,6
D. Schröder,Á. Abrines,J. Grant,N. Noel,P. George,0
H. Diallo,Á. Abrines,N. Noel,D. Schröder,P. Patterson,3
H. Diallo,Á. Abrines,N. Noel,D. Schröder,P. Patterson,3
T. Ferguson,Á. Abrines,N. Noel,D. Schröder,P. Patterson,2
T. Ferguson,R. Westbrook,N. Noel,D. Schröder,P. Patterson,0
T. Ferguson,R. Westbrook,Á. Abrines,S. Adams,P. Patterson,3
T. Ferguson,R. Westbrook,Á. Abrines,S. Adams,P. Patterson,1
P. George,R. Westbrook,Á. Abrines,S. Adams,J. Grant,0
P. George,R. Westbrook,Á. Abrines,S. Adams,J. Grant,4
P. George,R. Westbrook,D. Schröder,S. Adams,J. Grant,7
P. George,R. Westbrook,D. Schröder,S. Adams,J. Grant,0
T. Ferguson,S. Adams,J. Grant,R. Westbrook,P. George,5
T. Ferguson,S. Adams,J. Grant,R. Westbrook,P. George,7
D. Schröder,S. Adams,J. Grant,R. Westbrook,P. George,2
D. Schröder,N. Noel,J. Grant,R. Westbrook,P. George,1
D. Schröder,N. Noel,T. Ferguson,R. Westbrook,P. George,4
D. Schröder,S. Adams,T. Ferguson,Á. Abrines,P. George,5
D. Schröder,S. Adams,T. Ferguson,Á. Abrines,P. George,0
P. George,N. Noel,D. Schröder,T. Ferguson,Á. Abrines,5
R. Westbrook,N. Noel,D. Schröder,T. Ferguson,Á. Abrines,1
R. Westbrook,S. Adams,J. Grant,T. Ferguson,Á. Abrines,2
R. Westbrook,S. Adams,J. Grant,T. Ferguson,Á. Abrines,0
R. Westbrook,S. Adams,J. Grant,P. George,Á. Abrines,2
R. Westbrook,S. Adams,J. Grant,P. George,D. Schröder,0
R. Westbrook,S. Adams,J. Grant,P. George,D. Schröder,6
R. Westbrook,S. Adams,J. Grant,P. George,D. Schröder,6
N. Noel,H. Diallo,T. Luwawu-Cabarrot,T. Ferguson,A. Nader,0
