G. Antetokounmpo,T. Snell,B. Lopez,K. Middleton,E. Bledsoe,2
D. Wilson,T. Snell,B. Lopez,K. Middleton,E. Bledsoe,11
D. Wilson,T. Snell,B. Lopez,K. Middleton,E. Bledsoe,1
D. Wilson,S. Brown,B. Lopez,K. Middleton,E. Bledsoe,0
D. Wilson,S. Brown,T. Maker,K. Middleton,E. Bledsoe,5
G. Hill,S. Brown,T. Maker,G. Antetokounmpo,E. Bledsoe,4
G. Hill,S. Brown,T. Maker,G. Antetokounmpo,D. DiVincenzo,0
G. Hill,S. Brown,K. Middleton,G. Antetokounmpo,D. DiVincenzo,0
T. Maker,D. DiVincenzo,G. Antetokounmpo,G. Hill,T. Snell,4
D. Wilson,D. DiVincenzo,G. Antetokounmpo,G. Hill,T. Snell,5
D. Wilson,K. Middleton,G. Antetokounmpo,G. Hill,T. Snell,0
D. Wilson,K. Middleton,S. Brown,G. Hill,T. Snell,1
D. Wilson,K. Middleton,S. Brown,E. Bledsoe,T. Snell,0
D. Wilson,K. Middleton,S. Brown,E. Bledsoe,T. Snell,4
D. Wilson,K. Middleton,B. Lopez,E. Bledsoe,T. Snell,7
S. Brown,K. Middleton,B. Lopez,E. Bledsoe,G. Antetokounmpo,7
S. Brown,K. Middleton,B. Lopez,E. Bledsoe,D. Wilson,0
E. Bledsoe,T. Snell,G. Antetokounmpo,B. Lopez,K. Middleton,16
S. Brown,T. Snell,G. Antetokounmpo,B. Lopez,K. Middleton,4
S. Brown,E. Bledsoe,G. Antetokounmpo,B. Lopez,K. Middleton,6
S. Brown,D. Wilson,G. Hill,B. Lopez,K. Middleton,4
S. Brown,D. Wilson,G. Hill,G. Antetokounmpo,D. DiVincenzo,0
G. Hill,G. Antetokounmpo,E. Bledsoe,D. Wilson,T. Snell,5
K. Middleton,G. Antetokounmpo,E. Bledsoe,D. Wilson,T. Snell,2
K. Middleton,S. Brown,E. Bledsoe,D. Wilson,T. Snell,6
K. Middleton,S. Brown,G. Antetokounmpo,B. Lopez,T. Snell,4
E. Bledsoe,S. Brown,G. Antetokounmpo,B. Lopez,T. Snell,2
E. Bledsoe,S. Brown,G. Antetokounmpo,B. Lopez,K. Middleton,7
E. Bledsoe,S. Brown,G. Antetokounmpo,D. Wilson,K. Middleton,0
