S. Gilgeous-Alexander,M. Gortat,D. Gallinari,A. Bradley,T. Harris,10,324
P. Beverley,M. Harrell,D. Gallinari,A. Bradley,T. Harris,8,177
P. Beverley,M. Harrell,M. Scott,A. Bradley,T. Harris,5,84
P. Beverley,M. Harrell,M. Scott,A. Bradley,T. Harris,4,107
P. Beverley,M. Harrell,M. Scott,T. Wallace,T. Harris,2,28
M. Scott,P. Beverley,T. Wallace,M. Harrell,S. Gilgeous-Alexander,4,177
D. Gallinari,P. Beverley,T. Wallace,M. Harrell,S. Gilgeous-Alexander,10,138
D. Gallinari,P. Beverley,T. Wallace,M. Harrell,S. Gilgeous-Alexander,2,46
D. Gallinari,T. Harris,T. Wallace,M. Harrell,S. Gilgeous-Alexander,8,150
D. Gallinari,T. Harris,A. Bradley,M. Harrell,S. Gilgeous-Alexander,7,198
D. Gallinari,T. Harris,A. Bradley,M. Harrell,S. Gilgeous-Alexander,0,11
M. Gortat,S. Gilgeous-Alexander,D. Gallinari,A. Bradley,T. Harris,7,251
B. Marjanović,S. Gilgeous-Alexander,D. Gallinari,A. Bradley,T. Harris,2,77
B. Marjanović,P. Beverley,D. Gallinari,A. Bradley,T. Harris,7,119
B. Marjanović,P. Beverley,D. Gallinari,A. Bradley,T. Harris,1,44
B. Marjanović,P. Beverley,M. Harrell,A. Bradley,T. Harris,3,68
T. Wallace,P. Beverley,M. Harrell,S. Gilgeous-Alexander,T. Harris,3,33
T. Wallace,P. Beverley,M. Harrell,S. Gilgeous-Alexander,T. Harris,2,42
T. Wallace,P. Beverley,M. Harrell,S. Gilgeous-Alexander,M. Scott,3,61
T. Wallace,P. Beverley,M. Harrell,S. Gilgeous-Alexander,M. Scott,0,21
T. Wallace,P. Beverley,M. Harrell,S. Gilgeous-Alexander,M. Scott,0,4
M. Scott,M. Harrell,T. Wallace,P. Beverley,S. Gilgeous-Alexander,9,200
M. Scott,M. Harrell,T. Wallace,P. Beverley,S. Gilgeous-Alexander,1,27
M. Scott,M. Harrell,T. Wallace,P. Beverley,S. Gilgeous-Alexander,0,6
D. Gallinari,M. Harrell,T. Wallace,P. Beverley,S. Gilgeous-Alexander,2,63
D. Gallinari,T. Harris,T. Wallace,P. Beverley,S. Gilgeous-Alexander,6,82
D. Gallinari,T. Harris,A. Bradley,P. Beverley,S. Gilgeous-Alexander,6,106
D. Gallinari,T. Harris,A. Bradley,P. Beverley,S. Gilgeous-Alexander,14,222
D. Gallinari,T. Harris,A. Bradley,M. Scott,S. Gilgeous-Alexander,0,2
D. Gallinari,T. Harris,A. Bradley,S. Thornwell,S. Gilgeous-Alexander,1,3
D. Gallinari,T. Harris,A. Bradley,M. Scott,S. Gilgeous-Alexander,0,9
