M. Brogdon,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,10,242
S. Brown,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,8,157
S. Brown,G. Hill,D. Wilson,B. Lopez,K. Middleton,2,64
S. Brown,G. Hill,D. Wilson,T. Maker,K. Middleton,2,32
S. Brown,G. Hill,D. Wilson,T. Maker,M. Brogdon,8,191
S. Brown,G. Hill,G. Antetokounmpo,T. Maker,M. Brogdon,3,34
T. Maker,G. Hill,G. Antetokounmpo,E. Bledsoe,T. Snell,4,93
T. Maker,G. Hill,G. Antetokounmpo,E. Bledsoe,T. Snell,7,104
D. Wilson,G. Hill,G. Antetokounmpo,E. Bledsoe,T. Snell,0,15
D. Wilson,K. Middleton,G. Antetokounmpo,E. Bledsoe,T. Snell,5,100
D. Wilson,K. Middleton,M. Brogdon,E. Bledsoe,T. Snell,5,65
D. Wilson,K. Middleton,M. Brogdon,B. Lopez,T. Snell,0,69
G. Antetokounmpo,K. Middleton,M. Brogdon,B. Lopez,T. Snell,0,15
G. Antetokounmpo,K. Middleton,M. Brogdon,B. Lopez,T. Snell,2,82
G. Antetokounmpo,K. Middleton,S. Brown,B. Lopez,G. Hill,2,68
G. Antetokounmpo,K. Middleton,T. Snell,B. Lopez,G. Hill,1,51
G. Antetokounmpo,K. Middleton,T. Snell,B. Lopez,G. Hill,1,18
S. Brown,K. Middleton,T. Snell,B. Lopez,G. Hill,1,6
S. Brown,K. Middleton,D. Wilson,B. Lopez,G. Hill,1,29
S. Brown,K. Middleton,D. Wilson,B. Lopez,G. Hill,0,5
M. Brogdon,E. Bledsoe,B. Lopez,G. Antetokounmpo,K. Middleton,12,268
S. Brown,E. Bledsoe,B. Lopez,G. Antetokounmpo,K. Middleton,0,29
S. Brown,G. Hill,B. Lopez,G. Antetokounmpo,K. Middleton,0,30
S. Brown,G. Hill,B. Lopez,G. Antetokounmpo,K. Middleton,0,37
S. Brown,G. Hill,B. Lopez,G. Antetokounmpo,K. Middleton,0,46
S. Brown,G. Hill,D. Wilson,G. Antetokounmpo,K. Middleton,2,19
S. Brown,G. Hill,D. Wilson,T. Maker,K. Middleton,2,79
S. Brown,G. Hill,D. Wilson,T. Maker,M. Brogdon,1,8
S. Brown,G. Hill,D. Wilson,T. Maker,M. Brogdon,4,47
S. Brown,G. Hill,D. Wilson,T. Maker,M. Brogdon,0,78
G. Antetokounmpo,G. Hill,T. Snell,T. Maker,M. Brogdon,7,79
T. Maker,G. Hill,G. Antetokounmpo,E. Bledsoe,T. Snell,2,100
D. Wilson,G. Hill,G. Antetokounmpo,E. Bledsoe,T. Snell,4,38
D. Wilson,G. Hill,G. Antetokounmpo,E. Bledsoe,T. Snell,3,62
D. Wilson,K. Middleton,G. Antetokounmpo,E. Bledsoe,T. Snell,4,62
D. Wilson,K. Middleton,G. Antetokounmpo,E. Bledsoe,T. Snell,3,77
D. Wilson,K. Middleton,M. Brogdon,S. Brown,G. Hill,4,134
D. Wilson,K. Middleton,M. Brogdon,G. Antetokounmpo,G. Hill,5,58
D. Wilson,K. Middleton,M. Brogdon,G. Antetokounmpo,G. Hill,3,47
D. Wilson,K. Middleton,M. Brogdon,G. Antetokounmpo,G. Hill,2,116
K. Middleton,T. Snell,S. Brown,G. Antetokounmpo,G. Hill,2,1
D. Wilson,T. Snell,S. Brown,T. Maker,G. Hill,1,25
