K. Looney,S. Curry,D. Green,K. Thompson,K. Durant,8,291
K. Looney,S. Curry,D. Green,K. Thompson,K. Durant,3,106
J. Jerebko,S. Curry,D. Green,K. Thompson,K. Durant,0,70
J. Jerebko,S. Curry,D. Green,K. Thompson,K. Durant,0,3
J. Jerebko,J. Bell,S. Livingston,K. Thompson,K. Durant,3,125
J. Jerebko,J. Bell,S. Livingston,A. Iguodala,K. Durant,7,125
J. Jerebko,A. Iguodala,S. Livingston,S. Curry,D. Green,6,166
J. Jerebko,A. Iguodala,S. Livingston,S. Curry,D. Green,2,40
A. McKinnie,A. Iguodala,S. Livingston,S. Curry,D. Green,6,39
A. McKinnie,K. Looney,K. Thompson,S. Curry,D. Green,0,25
A. McKinnie,K. Looney,K. Thompson,S. Curry,D. Green,9,111
A. McKinnie,K. Looney,K. Thompson,K. Durant,A. Iguodala,3,47
A. McKinnie,K. Looney,K. Thompson,K. Durant,A. Iguodala,1,31
S. Curry,K. Looney,K. Thompson,K. Durant,A. Iguodala,0,37
S. Curry,D. Green,K. Thompson,K. Durant,A. Iguodala,3,116
Q. Cook,D. Green,K. Thompson,K. Durant,A. Iguodala,4,77
Q. Cook,D. Green,K. Thompson,K. Durant,A. Iguodala,0,31
K. Looney,S. Curry,D. Green,K. Thompson,K. Durant,13,324
J. Jerebko,S. Curry,D. Green,K. Thompson,K. Durant,1,76
J. Jerebko,S. Curry,D. Green,K. Thompson,K. Durant,5,96
J. Jerebko,J. Bell,S. Livingston,K. Thompson,K. Durant,6,224
J. Bell,S. Livingston,A. Iguodala,J. Jerebko,S. Curry,0,50
D. Green,S. Livingston,A. Iguodala,J. Jerebko,S. Curry,2,103
D. Green,S. Livingston,A. Iguodala,J. Jerebko,S. Curry,2,84
D. Green,A. McKinnie,A. Iguodala,J. Jerebko,S. Curry,3,77
D. Green,A. McKinnie,K. Durant,K. Thompson,S. Curry,7,108
D. Green,A. McKinnie,K. Durant,K. Thompson,S. Curry,9,281
D. Green,A. Iguodala,K. Durant,K. Thompson,S. Curry,0,17
