D. Nwaba,C. Osman,R. Hood,L. Nance,C. Sexton,13,371
J. Blossomgame,J. Clarkson,R. Hood,L. Nance,C. Sexton,2,32
J. Blossomgame,J. Clarkson,A. Burks,L. Nance,C. Sexton,2,48
J. Blossomgame,J. Clarkson,A. Burks,M. Dellavedova,A. Žižić,5,158
J. Blossomgame,J. Clarkson,A. Burks,M. Dellavedova,A. Žižić,6,111
M. Dellavedova,A. Žižić,J. Blossomgame,J. Clarkson,A. Burks,9,142
M. Dellavedova,A. Žižić,J. Blossomgame,J. Clarkson,A. Burks,0,105
R. Hood,L. Nance,J. Blossomgame,J. Clarkson,A. Burks,0,24
R. Hood,L. Nance,C. Osman,J. Clarkson,A. Burks,2,69
R. Hood,L. Nance,C. Osman,C. Sexton,A. Burks,7,144
J. Clarkson,L. Nance,D. Nwaba,C. Sexton,J. Blossomgame,4,184
J. Clarkson,L. Nance,C. Osman,C. Sexton,J. Blossomgame,2,52
D. Nwaba,C. Osman,R. Hood,L. Nance,C. Sexton,8,177
D. Nwaba,C. Osman,R. Hood,L. Nance,C. Sexton,8,125
J. Clarkson,C. Osman,R. Hood,L. Nance,C. Sexton,1,16
J. Clarkson,J. Blossomgame,R. Hood,L. Nance,C. Sexton,5,108
J. Clarkson,J. Blossomgame,A. Burks,M. Dellavedova,A. Žižić,6,117
J. Clarkson,J. Blossomgame,A. Burks,M. Dellavedova,A. Žižić,13,177
A. Žižić,M. Dellavedova,A. Burks,J. Blossomgame,J. Clarkson,0,158
L. Nance,M. Dellavedova,A. Burks,J. Blossomgame,J. Clarkson,3,87
L. Nance,C. Sexton,A. Burks,J. Blossomgame,J. Clarkson,1,42
L. Nance,C. Sexton,A. Burks,J. Blossomgame,J. Clarkson,1,51
L. Nance,C. Sexton,C. Osman,J. Blossomgame,J. Clarkson,3,82
L. Nance,C. Sexton,C. Osman,J. Blossomgame,J. Clarkson,0,18
L. Nance,C. Sexton,C. Osman,A. Burks,J. Clarkson,2,109
L. Nance,C. Sexton,C. Osman,A. Burks,J. Clarkson,4,52
L. Nance,C. Sexton,C. Osman,A. Burks,J. Clarkson,1,20
A. Žižić,C. Sexton,C. Osman,A. Burks,J. Blossomgame,0,56
A. Žižić,M. Dellavedova,C. Osman,A. Burks,J. Blossomgame,2,45
