R. Arcidiacono,W. Carter,K. Dunn,J. Holiday,L. Markkanen,10,382
Z. LaVine,W. Carter,K. Dunn,J. Holiday,L. Markkanen,2,50
Z. LaVine,W. Carter,K. Dunn,J. Holiday,L. Markkanen,0,128
Z. LaVine,R. Arcidiacono,S. Harrison,R. Lopez,L. Markkanen,4,116
Z. LaVine,R. Arcidiacono,S. Harrison,R. Lopez,L. Markkanen,2,44
R. Arcidiacono,C. Hutchison,Z. LaVine,S. Harrison,R. Lopez,7,181
K. Dunn,J. Holiday,Z. LaVine,S. Harrison,R. Lopez,7,80
K. Dunn,J. Holiday,C. Hutchison,S. Harrison,R. Lopez,0,89
K. Dunn,J. Holiday,L. Markkanen,S. Harrison,R. Lopez,1,95
K. Dunn,J. Holiday,L. Markkanen,W. Carter,Z. LaVine,0,58
K. Dunn,J. Holiday,L. Markkanen,W. Carter,Z. LaVine,2,109
K. Dunn,J. Holiday,L. Markkanen,R. Lopez,Z. LaVine,2,21
K. Dunn,J. Holiday,L. Markkanen,R. Lopez,Z. LaVine,0,87
R. Arcidiacono,W. Carter,K. Dunn,J. Holiday,L. Markkanen,13,369
Z. LaVine,W. Carter,K. Dunn,J. Holiday,L. Markkanen,12,285
Z. LaVine,R. Arcidiacono,S. Harrison,C. Hutchison,R. Lopez,2,14
Z. LaVine,R. Arcidiacono,S. Harrison,C. Hutchison,R. Lopez,1,52
C. Hutchison,Z. LaVine,R. Lopez,R. Arcidiacono,S. Harrison,5,161
C. Hutchison,Z. LaVine,R. Lopez,R. Arcidiacono,S. Harrison,4,41
C. Hutchison,Z. LaVine,R. Lopez,R. Arcidiacono,S. Harrison,4,157
K. Dunn,L. Markkanen,R. Lopez,R. Arcidiacono,S. Harrison,2,64
A. Blakeney,L. Markkanen,C. Felício,R. Arcidiacono,S. Harrison,3,25
A. Blakeney,L. Markkanen,C. Felício,R. Arcidiacono,S. Harrison,4,52
A. Blakeney,L. Markkanen,C. Felício,C. Payne,S. Harrison,0,39
A. Blakeney,C. Hutchison,C. Felício,C. Payne,S. Harrison,0,56
A. Blakeney,C. Hutchison,C. Felício,C. Payne,S. Harrison,7,125
