M. Kleber,D. Jordan,W. Matthews,H. Barnes,L. Dončić,11,323
M. Kleber,D. Jordan,W. Matthews,H. Barnes,L. Dončić,4,58
J. Barea,D. Jordan,W. Matthews,H. Barnes,L. Dončić,5,91
J. Barea,D. Powell,W. Matthews,H. Barnes,L. Dončić,0,19
J. Barea,D. Powell,W. Matthews,H. Barnes,L. Dončić,3,47
J. Barea,D. Powell,D. Harris,H. Barnes,L. Dončić,0,2
J. Barea,D. Powell,D. Harris,H. Barnes,L. Dončić,1,1
J. Barea,D. Powell,D. Harris,D. Finney-Smith,D. Nowitzki,9,179
D. Nowitzki,D. Finney-Smith,D. Harris,D. Powell,J. Barea,7,235
D. Nowitzki,D. Finney-Smith,D. Harris,D. Powell,J. Barea,2,26
M. Kleber,D. Finney-Smith,D. Harris,D. Powell,J. Barea,0,28
D. Jordan,H. Barnes,L. Dončić,W. Matthews,J. Barea,4,110
D. Jordan,H. Barnes,L. Dončić,W. Matthews,M. Kleber,0,15
D. Jordan,H. Barnes,L. Dončić,W. Matthews,M. Kleber,1,2
D. Jordan,H. Barnes,L. Dončić,W. Matthews,M. Kleber,9,109
D. Jordan,H. Barnes,L. Dončić,W. Matthews,M. Kleber,9,191
D. Finney-Smith,H. Barnes,L. Dončić,W. Matthews,S. Mejri,2,4
W. Matthews,M. Kleber,H. Barnes,L. Dončić,D. Jordan,10,339
W. Matthews,M. Kleber,H. Barnes,L. Dončić,D. Jordan,2,94
J. Barea,M. Kleber,H. Barnes,L. Dončić,D. Jordan,3,29
J. Barea,D. Finney-Smith,H. Barnes,L. Dončić,D. Jordan,1,101
J. Barea,D. Finney-Smith,D. Harris,L. Dončić,D. Jordan,1,24
J. Barea,D. Finney-Smith,D. Harris,D. Nowitzki,D. Powell,1,48
J. Barea,D. Finney-Smith,D. Harris,D. Nowitzki,D. Powell,5,85
D. Nowitzki,D. Harris,D. Powell,D. Finney-Smith,J. Barea,5,133
M. Kleber,D. Harris,D. Powell,D. Finney-Smith,J. Barea,8,116
M. Kleber,D. Harris,D. Powell,D. Finney-Smith,J. Barea,0,28
M. Kleber,D. Harris,D. Powell,D. Finney-Smith,J. Barea,8,121
L. Dončić,H. Barnes,D. Jordan,D. Finney-Smith,J. Barea,1,20
L. Dončić,H. Barnes,D. Jordan,W. Matthews,J. Barea,7,260
L. Dončić,H. Barnes,D. Jordan,W. Matthews,J. Barea,1,12
L. Dončić,H. Barnes,D. Jordan,W. Matthews,D. Finney-Smith,2,30
