T. Bryant,J. Green,B. Beal,T. Ariza,J. Wall,12,361
M. Morris,J. Green,B. Beal,T. Ariza,J. Wall,1,35
M. Morris,J. Green,B. Beal,T. Ariza,J. Wall,4,23
M. Morris,I. Mahinmi,B. Beal,T. Ariza,J. Wall,8,127
M. Morris,I. Mahinmi,B. Beal,T. Ariza,J. Wall,0,17
M. Morris,I. Mahinmi,T. Satoranský,T. Ariza,J. Wall,3,157
I. Mahinmi,C. Randle,T. Satoranský,B. Beal,M. Morris,8,271
J. Green,J. Wall,T. Satoranský,B. Beal,M. Morris,2,42
J. Green,J. Wall,T. Satoranský,B. Beal,M. Morris,2,22
T. Ariza,J. Wall,I. Mahinmi,B. Beal,M. Morris,2,35
T. Ariza,J. Wall,I. Mahinmi,B. Beal,M. Morris,4,55
T. Ariza,J. Wall,I. Mahinmi,B. Beal,M. Morris,4,156
T. Ariza,J. Wall,T. Bryant,B. Beal,M. Morris,2,25
T. Ariza,J. Wall,T. Bryant,B. Beal,M. Morris,2,114
T. Ariza,J. Wall,T. Bryant,B. Beal,M. Morris,1,0
J. Green,T. Bryant,T. Ariza,J. Wall,B. Beal,0,63
M. Morris,T. Bryant,T. Ariza,J. Wall,B. Beal,2,219
M. Morris,I. Mahinmi,T. Ariza,J. Wall,B. Beal,4,118
M. Morris,I. Mahinmi,T. Ariza,J. Wall,B. Beal,8,187
M. Morris,I. Mahinmi,T. Ariza,J. Wall,B. Beal,0,61
M. Morris,I. Mahinmi,T. Satoranský,J. Wall,B. Beal,3,72
M. Morris,C. Randle,I. Mahinmi,B. Beal,T. Satoranský,3,164
T. Ariza,C. Randle,I. Mahinmi,B. Beal,T. Satoranský,3,20
T. Ariza,C. Randle,I. Mahinmi,B. Beal,T. Satoranský,6,136
T. Ariza,J. Wall,I. Mahinmi,B. Beal,T. Satoranský,5,95
T. Ariza,J. Wall,M. Morris,B. Beal,T. Satoranský,0,57
T. Ariza,J. Wall,M. Morris,B. Beal,T. Satoranský,4,219
T. Ariza,C. Randle,T. Bryant,T. Brown,T. Satoranský,2,29
