D. Gallinari,B. Marjanović,S. Gilgeous-Alexander,A. Bradley,T. Harris,18,285
D. Gallinari,B. Marjanović,S. Gilgeous-Alexander,A. Bradley,T. Harris,0,47
P. Beverley,B. Marjanović,S. Gilgeous-Alexander,A. Bradley,T. Harris,3,80
P. Beverley,B. Marjanović,S. Gilgeous-Alexander,A. Bradley,T. Harris,1,11
P. Beverley,M. Harrell,S. Gilgeous-Alexander,A. Bradley,T. Harris,4,80
P. Beverley,M. Harrell,L. Williams,A. Bradley,T. Harris,10,127
P. Beverley,M. Harrell,L. Williams,M. Scott,T. Wallace,3,90
M. Scott,T. Wallace,P. Beverley,L. Williams,M. Harrell,2,63
M. Scott,T. Wallace,P. Beverley,L. Williams,M. Harrell,4,32
M. Scott,T. Wallace,P. Beverley,L. Williams,M. Harrell,7,151
M. Scott,T. Wallace,P. Beverley,L. Williams,M. Harrell,3,35
D. Gallinari,S. Gilgeous-Alexander,P. Beverley,L. Williams,M. Harrell,5,76
D. Gallinari,S. Gilgeous-Alexander,T. Harris,L. Williams,M. Harrell,0,38
D. Gallinari,S. Gilgeous-Alexander,T. Harris,A. Bradley,M. Harrell,2,91
D. Gallinari,S. Gilgeous-Alexander,T. Harris,A. Bradley,B. Marjanović,4,70
D. Gallinari,S. Gilgeous-Alexander,T. Harris,A. Bradley,B. Marjanović,5,103
D. Gallinari,S. Gilgeous-Alexander,T. Harris,A. Bradley,B. Marjanović,0,22
P. Beverley,S. Gilgeous-Alexander,T. Harris,A. Bradley,B. Marjanović,0,39
S. Gilgeous-Alexander,B. Marjanović,D. Gallinari,T. Harris,A. Bradley,19,381
P. Beverley,B. Marjanović,D. Gallinari,T. Harris,A. Bradley,0,29
P. Beverley,M. Harrell,D. Gallinari,T. Harris,A. Bradley,0,36
P. Beverley,M. Harrell,L. Williams,T. Harris,A. Bradley,1,67
P. Beverley,M. Harrell,L. Williams,T. Harris,A. Bradley,9,114
P. Beverley,M. Harrell,L. Williams,M. Scott,A. Bradley,1,36
P. Beverley,M. Harrell,L. Williams,M. Scott,T. Wallace,1,57
L. Williams,P. Beverley,M. Harrell,M. Scott,T. Wallace,5,87
L. Williams,P. Beverley,M. Harrell,M. Scott,T. Wallace,6,99
L. Williams,P. Beverley,M. Harrell,M. Scott,T. Wallace,5,98
S. Gilgeous-Alexander,P. Beverley,M. Harrell,M. Scott,T. Wallace,0,59
S. Gilgeous-Alexander,P. Beverley,M. Harrell,M. Scott,T. Wallace,0,11
S. Gilgeous-Alexander,B. Marjanović,S. Thornwell,M. Scott,T. Wallace,0,164
A. Bradley,D. Gallinari,T. Harris,M. Harrell,L. Williams,6,176
A. Bradley,D. Gallinari,T. Harris,M. Harrell,P. Beverley,3,26
