B. Ingram,I. Zubac,J. Hart,K. Kuzma,L. Ball,8
B. Ingram,I. Zubac,J. Hart,K. Kuzma,L. Ball,4
K. Caldwell-Pope,T. Chandler,J. Hart,K. Kuzma,L. Ball,3
K. Caldwell-Pope,T. Chandler,J. Hart,K. Kuzma,L. Ball,2
K. Caldwell-Pope,T. Chandler,J. Hart,K. Kuzma,L. Ball,3
K. Caldwell-Pope,T. Chandler,B. Ingram,L. Stephenson,L. Ball,0
K. Caldwell-Pope,B. Ingram,I. Zubac,L. Stephenson,K. Kuzma,18
K. Caldwell-Pope,B. Ingram,I. Zubac,L. Stephenson,K. Kuzma,7
J. Hart,B. Ingram,I. Zubac,L. Stephenson,K. Kuzma,0
J. Hart,L. Ball,I. Zubac,L. Stephenson,K. Kuzma,2
J. Hart,L. Ball,T. Chandler,L. Stephenson,K. Kuzma,6
J. Hart,L. Ball,T. Chandler,B. Ingram,K. Kuzma,2
K. Caldwell-Pope,L. Ball,T. Chandler,B. Ingram,K. Kuzma,9
S. Mykhailiuk,L. Ball,L. Stephenson,B. Ingram,K. Kuzma,0
L. Ball,I. Zubac,K. Kuzma,J. Hart,B. Ingram,13
L. Ball,I. Zubac,K. Kuzma,J. Hart,B. Ingram,3
L. Ball,I. Zubac,K. Kuzma,J. Hart,B. Ingram,3
K. Caldwell-Pope,T. Chandler,K. Kuzma,J. Hart,B. Ingram,1
K. Caldwell-Pope,T. Chandler,L. Stephenson,J. Hart,B. Ingram,4
K. Caldwell-Pope,K. Kuzma,L. Stephenson,J. Hart,B. Ingram,4
K. Caldwell-Pope,K. Kuzma,L. Stephenson,A. Caruso,B. Ingram,2
K. Caldwell-Pope,K. Kuzma,L. Stephenson,A. Caruso,B. Ingram,0
A. Caruso,K. Kuzma,L. Stephenson,K. Caldwell-Pope,L. Ball,3
J. Hart,B. Ingram,L. Stephenson,K. Caldwell-Pope,L. Ball,4
J. Hart,B. Ingram,T. Chandler,K. Caldwell-Pope,L. Ball,3
J. Hart,K. Kuzma,T. Chandler,K. Caldwell-Pope,L. Ball,4
J. Hart,K. Kuzma,T. Chandler,B. Ingram,L. Ball,2
J. Hart,K. Kuzma,T. Chandler,B. Ingram,K. Caldwell-Pope,6
J. Hart,K. Kuzma,T. Chandler,B. Ingram,K. Caldwell-Pope,0
