D. Hamilton,A. Len,J. Collins,T. Young,K. Huerter,15,277
D. Bembry,A. Poythress,J. Collins,T. Young,K. Huerter,5,118
D. Bembry,A. Poythress,V. Carter,J. Lin,K. Huerter,1,40
D. Bembry,A. Poythress,V. Carter,J. Lin,K. Huerter,0,98
D. Bembry,A. Poythress,V. Carter,J. Lin,J. Anderson,0,13
J. Collins,T. Young,A. Len,J. Lin,J. Anderson,0,26
J. Collins,T. Young,A. Len,J. Lin,J. Anderson,0,25
J. Collins,T. Young,M. Plumlee,J. Lin,J. Anderson,4,55
J. Collins,T. Young,M. Plumlee,J. Lin,T. Dorsey,0,14
J. Collins,K. Huerter,M. Plumlee,J. Lin,T. Dorsey,0,54
T. Young,T. Dorsey,M. Plumlee,J. Collins,K. Huerter,5,112
J. Lin,T. Dorsey,M. Plumlee,J. Collins,K. Huerter,2,80
J. Lin,D. Bembry,M. Plumlee,J. Collins,K. Huerter,5,75
J. Lin,D. Bembry,A. Len,J. Collins,K. Huerter,7,77
J. Lin,D. Bembry,A. Len,V. Carter,K. Huerter,1,37
J. Lin,D. Bembry,A. Len,V. Carter,K. Huerter,4,52
J. Lin,D. Hamilton,A. Len,V. Carter,K. Huerter,2,30
J. Lin,D. Hamilton,A. Len,V. Carter,D. Bembry,4,138
J. Lin,K. Huerter,M. Plumlee,J. Collins,D. Bembry,5,119
D. Hamilton,K. Huerter,A. Len,J. Collins,T. Young,6,240
D. Bembry,K. Huerter,A. Len,J. Collins,T. Young,10,196
D. Bembry,J. Anderson,M. Plumlee,J. Collins,T. Young,0,87
D. Bembry,J. Anderson,M. Plumlee,V. Carter,J. Lin,1,31
D. Bembry,J. Anderson,M. Plumlee,V. Carter,J. Lin,4,86
J. Collins,J. Anderson,K. Huerter,V. Carter,J. Lin,0,80
T. Young,D. Hamilton,J. Collins,A. Len,K. Huerter,7,135
J. Lin,D. Hamilton,J. Collins,A. Len,K. Huerter,2,74
T. Young,D. Hamilton,J. Collins,A. Len,K. Huerter,2,38
T. Young,D. Bembry,J. Collins,A. Len,K. Huerter,2,42
T. Young,D. Bembry,V. Carter,A. Len,K. Huerter,2,108
T. Young,D. Bembry,V. Carter,J. Collins,K. Huerter,3,43
T. Young,D. Bembry,V. Carter,J. Collins,K. Huerter,9,280
