A. Horford,M. Morris,M. Smart,K. Irving,J. Tatum,10
A. Horford,M. Morris,M. Smart,K. Irving,J. Tatum,2
J. Brown,G. Hayward,D. Theis,K. Irving,J. Tatum,0
J. Brown,G. Hayward,D. Theis,K. Irving,J. Tatum,2
J. Brown,G. Hayward,D. Theis,T. Rozier,J. Tatum,8
J. Brown,G. Hayward,D. Theis,T. Rozier,M. Morris,0
G. Hayward,D. Theis,M. Morris,T. Rozier,J. Brown,1
G. Hayward,D. Theis,M. Morris,T. Rozier,J. Brown,4
G. Hayward,D. Theis,M. Morris,T. Rozier,J. Brown,11
M. Smart,G. Yabusele,M. Morris,T. Rozier,J. Brown,0
M. Smart,G. Yabusele,K. Irving,T. Rozier,J. Brown,2
M. Smart,G. Yabusele,K. Irving,J. Tatum,J. Brown,6
M. Smart,G. Yabusele,K. Irving,J. Tatum,J. Brown,0
M. Smart,A. Horford,K. Irving,J. Tatum,G. Hayward,0
A. Horford,M. Morris,M. Smart,K. Irving,J. Tatum,19
A. Horford,M. Morris,M. Smart,K. Irving,J. Tatum,2
J. Brown,G. Hayward,D. Theis,K. Irving,J. Tatum,0
J. Brown,G. Hayward,D. Theis,K. Irving,J. Tatum,0
J. Brown,G. Hayward,D. Theis,T. Rozier,J. Tatum,0
J. Brown,G. Hayward,D. Theis,T. Rozier,J. Tatum,12
J. Brown,G. Hayward,D. Theis,T. Rozier,M. Smart,0
G. Hayward,T. Rozier,D. Theis,M. Smart,J. Brown,3
G. Hayward,T. Rozier,D. Theis,M. Smart,J. Brown,4
M. Morris,T. Rozier,D. Theis,M. Smart,J. Brown,2
M. Morris,A. Horford,K. Irving,M. Smart,J. Brown,2
M. Morris,A. Horford,T. Rozier,M. Smart,J. Brown,1
M. Morris,A. Horford,T. Rozier,J. Tatum,J. Brown,8
M. Morris,A. Horford,K. Irving,J. Tatum,J. Brown,12
