M. Brogdon,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,11,254
S. Brown,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,9,124
S. Brown,D. Wilson,E. Bledsoe,B. Lopez,K. Middleton,4,81
S. Brown,D. Wilson,G. Hill,B. Lopez,K. Middleton,1,32
S. Brown,D. Wilson,G. Hill,B. Lopez,K. Middleton,3,82
S. Brown,D. Wilson,G. Hill,M. Brogdon,T. Maker,3,25
G. Antetokounmpo,T. Snell,G. Hill,M. Brogdon,T. Maker,2,56
G. Antetokounmpo,T. Snell,G. Hill,M. Brogdon,T. Maker,2,62
D. Wilson,T. Snell,G. Hill,M. Brogdon,T. Maker,0,4
G. Antetokounmpo,M. Brogdon,T. Maker,T. Snell,E. Bledsoe,9,230
D. Wilson,M. Brogdon,T. Maker,T. Snell,E. Bledsoe,4,64
D. Wilson,G. Hill,B. Lopez,K. Middleton,E. Bledsoe,5,50
D. Wilson,G. Hill,B. Lopez,K. Middleton,E. Bledsoe,2,98
S. Brown,G. Hill,B. Lopez,K. Middleton,G. Antetokounmpo,8,157
S. Brown,M. Brogdon,B. Lopez,K. Middleton,G. Antetokounmpo,5,120
S. Brown,M. Brogdon,B. Lopez,K. Middleton,D. Wilson,0,1
G. Antetokounmpo,M. Brogdon,E. Bledsoe,K. Middleton,B. Lopez,8,249
D. Wilson,M. Brogdon,E. Bledsoe,K. Middleton,B. Lopez,3,47
D. Wilson,S. Brown,E. Bledsoe,K. Middleton,B. Lopez,6,184
D. Wilson,S. Brown,G. Hill,K. Middleton,B. Lopez,1,20
D. Wilson,S. Brown,G. Hill,M. Brogdon,B. Lopez,0,29
D. Wilson,S. Brown,G. Hill,M. Brogdon,B. Lopez,0,31
T. Maker,S. Brown,G. Hill,M. Brogdon,G. Antetokounmpo,3,49
T. Maker,T. Snell,G. Hill,M. Brogdon,G. Antetokounmpo,3,111
G. Hill,G. Antetokounmpo,M. Brogdon,T. Maker,T. Snell,5,61
E. Bledsoe,G. Antetokounmpo,M. Brogdon,T. Maker,T. Snell,2,68
E. Bledsoe,G. Antetokounmpo,M. Brogdon,T. Maker,T. Snell,0,42
E. Bledsoe,D. Wilson,M. Brogdon,T. Maker,T. Snell,0,29
E. Bledsoe,D. Wilson,G. Hill,B. Lopez,T. Snell,6,75
E. Bledsoe,D. Wilson,G. Hill,B. Lopez,K. Middleton,6,70
E. Bledsoe,D. Wilson,G. Hill,B. Lopez,K. Middleton,0,24
E. Bledsoe,D. Wilson,G. Hill,B. Lopez,K. Middleton,5,88
P. Connaughton,T. Snell,G. Hill,T. Maker,J. Smith,0,47
P. Connaughton,T. Snell,D. DiVincenzo,T. Maker,J. Smith,5,193
P. Connaughton,T. Snell,D. DiVincenzo,T. Maker,J. Smith,0,23
