R. Hood,A. Burks,T. Thompson,C. Sexton,C. Osman,8
J. Clarkson,A. Burks,T. Thompson,C. Sexton,C. Osman,10
J. Clarkson,R. Hood,L. Nance,C. Sexton,C. Osman,0
J. Clarkson,R. Hood,L. Nance,C. Sexton,C. Osman,0
J. Clarkson,R. Hood,L. Nance,M. Dellavedova,C. Osman,2
J. Clarkson,R. Hood,L. Nance,M. Dellavedova,J. Jones,3
J. Clarkson,P. McCaw,L. Nance,M. Dellavedova,J. Jones,0
M. Dellavedova,J. Jones,L. Nance,P. McCaw,A. Burks,7
C. Osman,C. Sexton,T. Thompson,P. McCaw,A. Burks,3
C. Osman,C. Sexton,T. Thompson,R. Hood,A. Burks,2
C. Osman,C. Sexton,T. Thompson,R. Hood,A. Burks,0
C. Osman,M. Dellavedova,T. Thompson,R. Hood,J. Clarkson,0
R. Hood,T. Thompson,A. Burks,C. Osman,C. Sexton,21
J. Clarkson,L. Nance,A. Burks,C. Osman,C. Sexton,6
J. Clarkson,L. Nance,M. Dellavedova,J. Jones,P. McCaw,5
J. Clarkson,L. Nance,M. Dellavedova,J. Jones,P. McCaw,4
J. Clarkson,L. Nance,M. Dellavedova,J. Jones,P. McCaw,0
J. Clarkson,L. Nance,M. Dellavedova,J. Jones,P. McCaw,0
J. Jones,M. Dellavedova,P. McCaw,J. Clarkson,L. Nance,10
R. Hood,M. Dellavedova,P. McCaw,J. Clarkson,L. Nance,0
R. Hood,C. Sexton,P. McCaw,J. Clarkson,L. Nance,7
R. Hood,C. Sexton,A. Burks,J. Clarkson,L. Nance,0
R. Hood,C. Sexton,A. Burks,C. Osman,L. Nance,2
R. Hood,C. Sexton,A. Burks,C. Osman,T. Thompson,0
R. Hood,C. Sexton,A. Burks,C. Osman,T. Thompson,0
J. Blossomgame,C. Sexton,A. Burks,C. Osman,T. Thompson,2
J. Blossomgame,C. Sexton,C. Frye,J. Jones,P. McCaw,0
