D. Augustin,A. Gordon,E. Fournier,J. Isaac,N. Vučević,17
W. Iwundu,J. Simmons,E. Fournier,J. Isaac,N. Vučević,2
W. Iwundu,J. Simmons,T. Ross,J. Isaac,N. Vučević,3
W. Iwundu,J. Simmons,T. Ross,M. Bamba,A. Gordon,0
E. Fournier,M. Bamba,A. Gordon,J. Simmons,T. Ross,13
E. Fournier,M. Bamba,A. Gordon,J. Simmons,T. Ross,0
W. Iwundu,M. Bamba,A. Gordon,J. Simmons,T. Ross,0
W. Iwundu,M. Bamba,A. Gordon,J. Simmons,T. Ross,2
W. Iwundu,M. Bamba,A. Gordon,J. Simmons,T. Ross,0
W. Iwundu,D. Augustin,J. Isaac,N. Vučević,T. Ross,2
E. Fournier,D. Augustin,J. Isaac,N. Vučević,A. Gordon,0
J. Isaac,D. Augustin,E. Fournier,N. Vučević,A. Gordon,17
W. Iwundu,D. Augustin,E. Fournier,N. Vučević,A. Gordon,3
W. Iwundu,J. Simmons,E. Fournier,N. Vučević,A. Gordon,1
W. Iwundu,J. Simmons,T. Ross,N. Vučević,A. Gordon,1
W. Iwundu,J. Simmons,T. Ross,N. Vučević,A. Gordon,3
W. Iwundu,J. Simmons,T. Ross,M. Bamba,A. Gordon,0
M. Bamba,W. Iwundu,J. Isaac,J. Simmons,T. Ross,8
E. Fournier,N. Vučević,J. Isaac,J. Simmons,T. Ross,2
E. Fournier,N. Vučević,J. Isaac,J. Simmons,T. Ross,0
E. Fournier,N. Vučević,A. Gordon,J. Simmons,T. Ross,0
E. Fournier,N. Vučević,A. Gordon,D. Augustin,T. Ross,6
E. Fournier,N. Vučević,A. Gordon,D. Augustin,T. Ross,3
E. Fournier,N. Vučević,A. Gordon,D. Augustin,T. Ross,4
I. Briscoe,J. Martin,J. Grant,K. Birch,W. Iwundu,1
I. Briscoe,J. Martin,J. Grant,K. Birch,W. Iwundu,8
