K. Knox,L. Kornet,N. Vonleh,T. Hardaway,E. Mudiay,16
M. Hezonja,A. Trier,N. Vonleh,T. Hardaway,E. Mudiay,0
M. Hezonja,A. Trier,E. Freedom,T. Hardaway,E. Mudiay,5
M. Hezonja,A. Trier,E. Freedom,T. Burke,D. Dotson,2
K. Knox,A. Trier,E. Freedom,T. Burke,D. Dotson,0
D. Dotson,A. Trier,T. Burke,K. Knox,E. Freedom,16
D. Dotson,A. Trier,T. Burke,K. Knox,E. Freedom,1
M. Hezonja,E. Mudiay,T. Burke,K. Knox,E. Freedom,1
M. Hezonja,E. Mudiay,T. Hardaway,K. Knox,E. Freedom,2
M. Hezonja,E. Mudiay,T. Hardaway,N. Vonleh,E. Freedom,0
D. Dotson,E. Mudiay,T. Hardaway,N. Vonleh,E. Freedom,2
D. Dotson,E. Mudiay,T. Hardaway,N. Vonleh,K. Knox,4
D. Dotson,E. Mudiay,A. Trier,N. Vonleh,K. Knox,0
T. Hardaway,K. Knox,N. Vonleh,L. Kornet,E. Mudiay,10
D. Dotson,M. Hezonja,E. Freedom,L. Kornet,E. Mudiay,0
D. Dotson,M. Hezonja,E. Freedom,A. Trier,E. Mudiay,0
D. Dotson,M. Hezonja,E. Freedom,A. Trier,T. Burke,1
D. Dotson,M. Hezonja,E. Freedom,A. Trier,T. Burke,3
D. Dotson,M. Hezonja,E. Freedom,A. Trier,T. Burke,4
D. Dotson,M. Hezonja,N. Vonleh,A. Trier,T. Burke,0
D. Dotson,E. Freedom,M. Hezonja,T. Burke,A. Trier,6
K. Knox,E. Freedom,M. Hezonja,T. Burke,A. Trier,4
K. Knox,E. Freedom,M. Hezonja,T. Burke,A. Trier,6
K. Knox,L. Kornet,M. Hezonja,T. Burke,A. Trier,2
K. Knox,L. Kornet,M. Hezonja,T. Burke,A. Trier,10
