J. Tatum,A. Horford,M. Morris,M. Smart,K. Irving,21,386
G. Hayward,A. Horford,M. Morris,M. Smart,K. Irving,0,33
G. Hayward,D. Theis,M. Morris,M. Smart,K. Irving,0,45
G. Hayward,D. Theis,J. Brown,T. Rozier,K. Irving,1,24
G. Hayward,D. Theis,J. Brown,T. Rozier,K. Irving,3,41
G. Hayward,D. Theis,J. Brown,T. Rozier,K. Irving,0,42
G. Hayward,D. Theis,J. Brown,T. Rozier,K. Irving,0,41
G. Hayward,D. Theis,J. Brown,T. Rozier,J. Tatum,4,108
G. Hayward,D. Theis,T. Rozier,J. Tatum,J. Brown,6,189
A. Horford,M. Smart,T. Rozier,J. Tatum,J. Brown,0,23
A. Horford,M. Smart,T. Rozier,J. Tatum,J. Brown,4,48
A. Horford,M. Smart,T. Rozier,J. Tatum,J. Brown,5,73
A. Horford,M. Smart,K. Irving,J. Tatum,J. Brown,4,66
A. Horford,M. Smart,K. Irving,M. Morris,J. Brown,2,68
A. Horford,M. Smart,K. Irving,M. Morris,G. Hayward,8,104
D. Theis,M. Smart,K. Irving,M. Morris,G. Hayward,0,29
D. Theis,J. Tatum,K. Irving,M. Morris,G. Hayward,2,24
D. Theis,J. Tatum,K. Irving,M. Morris,G. Hayward,8,96
A. Horford,J. Tatum,K. Irving,M. Smart,M. Morris,9,293
D. Theis,J. Tatum,K. Irving,M. Smart,M. Morris,2,67
D. Theis,G. Hayward,K. Irving,M. Smart,M. Morris,4,80
D. Theis,G. Hayward,J. Brown,T. Rozier,M. Morris,6,62
D. Theis,G. Hayward,J. Brown,T. Rozier,M. Morris,3,33
D. Theis,G. Hayward,J. Brown,T. Rozier,M. Morris,2,65
D. Theis,G. Hayward,J. Brown,T. Rozier,S. Ojeleye,11,120
G. Hayward,T. Rozier,R. Williams,J. Brown,S. Ojeleye,11,208
J. Tatum,T. Rozier,R. Williams,J. Brown,S. Ojeleye,8,142
G. Yabusele,B. Wanamaker,R. Williams,J. Brown,S. Ojeleye,2,102
G. Yabusele,B. Wanamaker,R. Williams,J. Brown,S. Ojeleye,2,102
G. Yabusele,B. Wanamaker,R. Williams,J. Brown,S. Ojeleye,7,166
