J. McGee,L. Ball,J. Hart,K. Kuzma,B. Ingram,10
J. McGee,L. Ball,J. Hart,K. Kuzma,B. Ingram,2
I. Zubac,L. Ball,J. Hart,K. Kuzma,B. Ingram,0
I. Zubac,L. Ball,J. Hart,K. Kuzma,B. Ingram,1
I. Zubac,K. Caldwell-Pope,J. Hart,K. Kuzma,B. Ingram,3
I. Zubac,K. Caldwell-Pope,L. Stephenson,K. Kuzma,B. Ingram,2
I. Zubac,K. Caldwell-Pope,L. Stephenson,M. Beasley,B. Ingram,2
J. McGee,K. Caldwell-Pope,L. Stephenson,M. Beasley,B. Ingram,0
M. Beasley,L. Stephenson,K. Caldwell-Pope,J. McGee,L. Ball,11
K. Kuzma,L. Stephenson,K. Caldwell-Pope,J. McGee,L. Ball,7
K. Kuzma,J. Hart,K. Caldwell-Pope,J. McGee,L. Ball,2
K. Kuzma,J. Hart,B. Ingram,I. Zubac,L. Ball,0
K. Kuzma,J. Hart,B. Ingram,J. McGee,L. Ball,7
K. Kuzma,J. Hart,B. Ingram,J. McGee,L. Ball,0
L. Ball,J. McGee,J. Hart,K. Kuzma,B. Ingram,25
K. Caldwell-Pope,I. Zubac,J. Hart,K. Kuzma,B. Ingram,2
K. Caldwell-Pope,I. Zubac,J. Hart,K. Kuzma,B. Ingram,1
K. Caldwell-Pope,I. Zubac,J. Hart,K. Kuzma,B. Ingram,5
K. Caldwell-Pope,I. Zubac,J. Hart,K. Kuzma,B. Ingram,5
K. Caldwell-Pope,I. Zubac,L. Stephenson,K. Kuzma,B. Ingram,2
K. Caldwell-Pope,I. Zubac,L. Stephenson,M. Beasley,B. Ingram,0
L. Ball,K. Caldwell-Pope,I. Zubac,M. Beasley,L. Stephenson,7
L. Ball,K. Caldwell-Pope,I. Zubac,M. Beasley,L. Stephenson,7
L. Ball,K. Caldwell-Pope,I. Zubac,M. Beasley,L. Stephenson,5
L. Ball,K. Caldwell-Pope,I. Zubac,M. Beasley,L. Stephenson,1
L. Ball,K. Caldwell-Pope,I. Zubac,M. Beasley,L. Stephenson,4
S. Mykhailiuk,M. Wagner,I. Zubac,M. Beasley,L. Stephenson,2
