D. White,D. DeRozan,J. Poeltl,B. Forbes,L. Aldridge,3,256
P. Mills,D. DeRozan,J. Poeltl,B. Forbes,L. Aldridge,2,99
P. Mills,M. Belinelli,D. Bertāns,B. Forbes,L. Aldridge,0,37
P. Mills,M. Belinelli,D. Bertāns,B. Forbes,L. Aldridge,1,43
P. Mills,M. Belinelli,D. Bertāns,D. Cunningham,L. Aldridge,5,28
P. Mills,M. Belinelli,D. Bertāns,D. Cunningham,L. Aldridge,0,47
P. Mills,M. Belinelli,D. Bertāns,D. Cunningham,P. Gasol,2,32
P. Mills,M. Belinelli,D. Bertāns,D. DeRozan,P. Gasol,5,122
P. Mills,M. Belinelli,D. Bertāns,D. DeRozan,P. Gasol,0,56
M. Belinelli,D. Bertāns,P. Gasol,D. White,D. DeRozan,4,201
B. Forbes,P. Mills,J. Poeltl,Q. Pondexter,D. DeRozan,0,42
B. Forbes,P. Mills,L. Aldridge,Q. Pondexter,D. DeRozan,0,87
B. Forbes,P. Mills,L. Aldridge,Q. Pondexter,D. DeRozan,5,72
B. Forbes,P. Mills,L. Aldridge,D. Bertāns,M. Belinelli,4,261
B. Forbes,P. Mills,L. Aldridge,D. Bertāns,M. Belinelli,0,57
D. White,D. Bertāns,D. DeRozan,L. Aldridge,B. Forbes,0,19
P. Mills,D. Bertāns,D. DeRozan,L. Aldridge,B. Forbes,9,181
P. Mills,P. Gasol,D. DeRozan,L. Aldridge,B. Forbes,5,120
P. Mills,P. Gasol,D. DeRozan,L. Aldridge,B. Forbes,5,108
P. Mills,P. Gasol,M. Belinelli,L. Aldridge,B. Forbes,2,64
P. Mills,P. Gasol,M. Belinelli,L. Aldridge,B. Forbes,10,131
D. White,P. Gasol,M. Belinelli,D. DeRozan,J. Poeltl,2,97
D. White,D. Cunningham,J. Poeltl,D. DeRozan,M. Belinelli,3,75
P. Mills,D. Cunningham,J. Poeltl,D. DeRozan,M. Belinelli,5,120
B. Forbes,D. Cunningham,J. Poeltl,D. DeRozan,M. Belinelli,0,92
B. Forbes,L. Aldridge,J. Poeltl,D. DeRozan,M. Belinelli,1,38
B. Forbes,L. Aldridge,P. Mills,D. DeRozan,M. Belinelli,4,101
B. Forbes,L. Aldridge,P. Mills,D. White,M. Belinelli,0,29
P. Gasol,D. Cunningham,Q. Pondexter,D. White,D. Eubanks,9,152
P. Gasol,M. Belinelli,B. Forbes,D. White,D. Eubanks,0,113
