A. Horford,M. Morris,M. Smart,J. Tatum,K. Irving,18,414
G. Hayward,D. Theis,M. Smart,J. Tatum,K. Irving,2,119
G. Hayward,D. Theis,J. Brown,T. Rozier,K. Irving,2,38
G. Hayward,D. Theis,J. Brown,T. Rozier,K. Irving,2,149
J. Brown,G. Hayward,M. Morris,D. Theis,T. Rozier,8,288
M. Smart,J. Tatum,M. Morris,D. Theis,T. Rozier,0,28
M. Smart,J. Tatum,M. Morris,D. Theis,T. Rozier,0,9
M. Smart,J. Tatum,A. Horford,K. Irving,T. Rozier,5,137
M. Smart,J. Tatum,A. Horford,K. Irving,G. Hayward,6,206
M. Morris,J. Tatum,A. Horford,K. Irving,G. Hayward,0,52
A. Horford,M. Morris,M. Smart,J. Tatum,K. Irving,3,226
R. Williams,M. Morris,M. Smart,J. Tatum,K. Irving,8,177
R. Williams,M. Morris,M. Smart,J. Tatum,K. Irving,4,47
R. Williams,M. Morris,M. Smart,J. Tatum,K. Irving,12,233
T. Rozier,J. Brown,G. Hayward,A. Horford,K. Irving,1,36
T. Rozier,J. Brown,G. Hayward,A. Horford,S. Ojeleye,1,1
S. Ojeleye,J. Brown,G. Hayward,A. Horford,T. Rozier,4,178
M. Smart,J. Brown,G. Hayward,A. Horford,T. Rozier,6,140
M. Smart,K. Irving,M. Morris,J. Tatum,R. Williams,7,176
M. Smart,K. Irving,M. Morris,J. Tatum,R. Williams,3,74
B. Wanamaker,S. Ojeleye,D. Theis,G. Yabusele,R. Williams,3,73
B. Wanamaker,S. Ojeleye,D. Theis,G. Yabusele,R. Williams,4,79
