W. Chandler,J. Embiid,J. Redick,J. Butler,B. Simmons,17,296
T. McConnell,M. Muscala,L. Shamet,J. Butler,B. Simmons,2,27
T. McConnell,M. Muscala,L. Shamet,J. Butler,B. Simmons,5,95
T. McConnell,M. Muscala,L. Shamet,J. Butler,B. Simmons,2,61
T. McConnell,M. Muscala,L. Shamet,W. Chandler,B. Simmons,8,113
T. McConnell,J. Bolden,J. Embiid,W. Chandler,J. Redick,2,128
W. Chandler,J. Redick,J. Embiid,T. McConnell,J. Bolden,4,177
J. Butler,L. Shamet,J. Embiid,T. McConnell,J. Bolden,6,89
J. Butler,L. Shamet,M. Muscala,B. Simmons,J. Bolden,4,73
J. Butler,L. Shamet,M. Muscala,B. Simmons,J. Bolden,0,16
J. Butler,J. Redick,M. Muscala,B. Simmons,W. Chandler,2,23
F. Korkmaz,J. Redick,M. Muscala,B. Simmons,W. Chandler,4,75
F. Korkmaz,J. Redick,M. Muscala,B. Simmons,W. Chandler,0,11
F. Korkmaz,J. Redick,J. Embiid,B. Simmons,W. Chandler,2,83
F. Korkmaz,J. Redick,J. Embiid,B. Simmons,W. Chandler,4,63
F. Korkmaz,J. Redick,J. Embiid,B. Simmons,J. Bolden,4,110
L. Shamet,J. Redick,W. Chandler,J. Embiid,B. Simmons,2,26
J. Butler,J. Redick,W. Chandler,J. Embiid,B. Simmons,4,247
J. Butler,L. Shamet,W. Chandler,J. Embiid,B. Simmons,0,56
J. Butler,L. Shamet,T. McConnell,M. Muscala,B. Simmons,6,158
F. Korkmaz,J. Redick,T. McConnell,M. Muscala,B. Simmons,2,49
F. Korkmaz,J. Redick,T. McConnell,M. Muscala,B. Simmons,3,102
F. Korkmaz,J. Redick,T. McConnell,J. Bolden,J. Embiid,0,57
W. Chandler,J. Redick,T. McConnell,J. Bolden,J. Embiid,0,25
W. Chandler,T. McConnell,J. Embiid,J. Redick,J. Bolden,3,153
J. Butler,T. McConnell,J. Embiid,J. Redick,J. Bolden,0,29
J. Butler,B. Simmons,J. Embiid,J. Redick,J. Bolden,4,57
J. Butler,B. Simmons,J. Embiid,J. Redick,J. Bolden,2,78
J. Butler,B. Simmons,M. Muscala,L. Shamet,J. Bolden,2,80
J. Butler,B. Simmons,M. Muscala,L. Shamet,W. Chandler,2,55
J. Butler,B. Simmons,J. Embiid,J. Redick,W. Chandler,4,144
J. Butler,B. Simmons,J. Embiid,J. Redick,W. Chandler,1,21
J. Butler,B. Simmons,J. Embiid,J. Redick,W. Chandler,5,83
J. Butler,B. Simmons,J. Embiid,J. Redick,W. Chandler,2,16
J. Butler,B. Simmons,J. Embiid,J. Bolden,W. Chandler,0,4
