M. Brogdon,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,10,230
M. Brogdon,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,4,66
S. Brown,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,1,91
S. Brown,D. Wilson,E. Bledsoe,B. Lopez,K. Middleton,5,80
S. Brown,D. Wilson,G. Hill,E. İlyasova,K. Middleton,1,34
S. Brown,D. Wilson,G. Hill,E. İlyasova,M. Brogdon,7,219
G. Hill,E. İlyasova,M. Brogdon,T. Snell,G. Antetokounmpo,0,55
E. Bledsoe,E. İlyasova,M. Brogdon,T. Snell,G. Antetokounmpo,0,66
E. Bledsoe,D. Wilson,M. Brogdon,T. Snell,G. Antetokounmpo,2,110
E. Bledsoe,D. Wilson,K. Middleton,T. Snell,G. Antetokounmpo,2,56
E. Bledsoe,D. Wilson,K. Middleton,T. Snell,G. Antetokounmpo,0,19
E. Bledsoe,B. Lopez,K. Middleton,T. Snell,G. Antetokounmpo,0,11
E. Bledsoe,B. Lopez,K. Middleton,G. Hill,G. Antetokounmpo,0,37
E. Bledsoe,B. Lopez,K. Middleton,G. Hill,D. Wilson,5,90
S. Brown,B. Lopez,K. Middleton,G. Hill,D. Wilson,3,53
S. Brown,B. Lopez,K. Middleton,G. Hill,D. Wilson,0,107
S. Brown,B. Lopez,K. Middleton,G. Antetokounmpo,M. Brogdon,6,78
S. Brown,B. Lopez,K. Middleton,G. Antetokounmpo,M. Brogdon,1,23
S. Brown,B. Lopez,K. Middleton,G. Antetokounmpo,M. Brogdon,3,15
G. Antetokounmpo,M. Brogdon,E. Bledsoe,B. Lopez,K. Middleton,8,233
D. Wilson,M. Brogdon,E. Bledsoe,B. Lopez,K. Middleton,1,20
D. Wilson,S. Brown,E. Bledsoe,B. Lopez,K. Middleton,1,13
D. Wilson,S. Brown,E. Bledsoe,B. Lopez,K. Middleton,5,44
D. Wilson,S. Brown,E. Bledsoe,B. Lopez,K. Middleton,9,115
D. Wilson,S. Brown,E. Bledsoe,B. Lopez,K. Middleton,13,196
D. Wilson,S. Brown,M. Brogdon,G. Hill,E. İlyasova,4,99
G. Antetokounmpo,G. Hill,M. Brogdon,E. İlyasova,P. Connaughton,7,135
G. Antetokounmpo,G. Hill,M. Brogdon,E. İlyasova,P. Connaughton,7,69
S. Brown,T. Maker,M. Brogdon,E. İlyasova,P. Connaughton,3,44
S. Brown,T. Maker,M. Brogdon,E. İlyasova,P. Connaughton,0,106
S. Brown,T. Maker,J. Smith,D. Wilson,P. Connaughton,0,121
S. Brown,T. Maker,J. Smith,E. İlyasova,P. Connaughton,3,245
