M. Bridges,D. Melton,T. Warren,D. Ayton,D. Booker,11
J. Jackson,E. Okobo,T. Warren,D. Ayton,D. Booker,0
J. Jackson,E. Okobo,T. Warren,D. Ayton,D. Booker,2
J. Jackson,E. Okobo,K. Oubre,D. Ayton,D. Booker,0
J. Jackson,E. Okobo,K. Oubre,D. Ayton,D. Booker,4
J. Jackson,E. Okobo,K. Oubre,D. Ayton,D. Booker,0
J. Jackson,E. Okobo,K. Oubre,R. Holmes,T. Warren,0
R. Holmes,E. Okobo,J. Jackson,T. Warren,K. Oubre,8
R. Holmes,E. Okobo,J. Jackson,T. Warren,K. Oubre,3
D. Ayton,E. Okobo,J. Jackson,T. Warren,K. Oubre,3
D. Ayton,E. Okobo,J. Jackson,T. Warren,K. Oubre,1
D. Ayton,D. Booker,J. Jackson,T. Warren,K. Oubre,4
D. Ayton,D. Booker,J. Jackson,T. Warren,K. Oubre,0
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,5
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,3
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,0
D. Ayton,T. Warren,D. Booker,D. Melton,M. Bridges,23
Q. Acy,R. Holmes,D. Booker,D. Melton,M. Bridges,0
Q. Acy,R. Holmes,D. Booker,D. Melton,M. Bridges,4
Q. Acy,R. Holmes,J. Jackson,E. Okobo,M. Bridges,3
Q. Acy,R. Holmes,J. Jackson,E. Okobo,K. Oubre,1
Q. Acy,R. Holmes,J. Jackson,E. Okobo,K. Oubre,3
D. Booker,R. Holmes,J. Jackson,T. Warren,K. Oubre,0
R. Holmes,E. Okobo,J. Jackson,T. Warren,K. Oubre,4
D. Ayton,D. Booker,J. Jackson,T. Warren,K. Oubre,5
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,3
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,5
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,13
D. Ayton,D. Booker,M. Bridges,T. Warren,K. Oubre,1
