T. Hardaway,E. Mudiay,N. Vonleh,K. Knox,L. Kornet,13,441
D. Dotson,F. Ntilikina,N. Vonleh,K. Knox,L. Kornet,3,39
D. Dotson,F. Ntilikina,M. Hezonja,K. Knox,L. Kornet,0,50
D. Dotson,F. Ntilikina,M. Hezonja,A. Trier,L. Kornet,5,69
D. Dotson,F. Ntilikina,M. Hezonja,A. Trier,L. Kornet,9,121
M. Hezonja,M. Robinson,F. Ntilikina,D. Dotson,A. Trier,11,209
M. Hezonja,M. Robinson,F. Ntilikina,D. Dotson,A. Trier,1,66
L. Kornet,N. Vonleh,F. Ntilikina,D. Dotson,A. Trier,7,64
L. Kornet,N. Vonleh,E. Mudiay,D. Dotson,A. Trier,1,36
L. Kornet,N. Vonleh,E. Mudiay,T. Hardaway,K. Knox,7,236
L. Kornet,D. Dotson,E. Mudiay,T. Hardaway,K. Knox,3,57
M. Robinson,D. Dotson,E. Mudiay,T. Hardaway,K. Knox,3,52
T. Hardaway,N. Vonleh,E. Mudiay,K. Knox,L. Kornet,10,293
T. Hardaway,N. Vonleh,E. Mudiay,K. Knox,L. Kornet,2,34
D. Dotson,N. Vonleh,E. Mudiay,K. Knox,L. Kornet,4,45
D. Dotson,N. Vonleh,E. Mudiay,K. Knox,L. Kornet,2,43
D. Dotson,M. Hezonja,E. Mudiay,K. Knox,L. Kornet,3,118
D. Dotson,M. Hezonja,F. Ntilikina,K. Knox,L. Kornet,0,76
D. Dotson,M. Hezonja,F. Ntilikina,M. Robinson,A. Trier,5,111
M. Robinson,F. Ntilikina,D. Dotson,M. Hezonja,A. Trier,0,68
M. Robinson,F. Ntilikina,D. Dotson,M. Hezonja,A. Trier,0,91
L. Kornet,F. Ntilikina,D. Dotson,M. Hezonja,A. Trier,0,42
L. Kornet,E. Mudiay,D. Dotson,M. Hezonja,A. Trier,0,16
L. Kornet,E. Mudiay,D. Dotson,M. Hezonja,A. Trier,2,133
L. Kornet,E. Mudiay,T. Hardaway,K. Knox,A. Trier,0,122
N. Vonleh,E. Mudiay,T. Hardaway,K. Knox,A. Trier,7,183
N. Vonleh,E. Mudiay,T. Hardaway,K. Knox,A. Trier,2,65
M. Robinson,E. Mudiay,T. Hardaway,K. Knox,A. Trier,0,0
