R. Hood,A. Žižić,C. Sexton,A. Burks,C. Osman,4
R. Hood,A. Žižić,C. Sexton,A. Burks,C. Osman,5
R. Hood,A. Žižić,C. Sexton,A. Burks,C. Osman,2
J. Clarkson,A. Žižić,C. Sexton,A. Burks,C. Osman,0
J. Clarkson,C. Frye,C. Sexton,A. Burks,C. Osman,0
J. Clarkson,C. Frye,M. Dellavedova,A. Burks,C. Osman,2
J. Clarkson,C. Frye,M. Dellavedova,J. Blossomgame,C. Payne,0
J. Clarkson,M. Dellavedova,C. Frye,J. Blossomgame,C. Payne,13
R. Hood,M. Dellavedova,C. Frye,J. Blossomgame,C. Payne,0
R. Hood,C. Sexton,A. Žižić,J. Blossomgame,C. Payne,0
R. Hood,C. Sexton,A. Žižić,A. Burks,C. Osman,4
R. Hood,C. Sexton,A. Žižić,A. Burks,C. Osman,1
J. Clarkson,C. Sexton,A. Žižić,A. Burks,C. Osman,3
J. Clarkson,C. Sexton,A. Žižić,A. Burks,C. Osman,0
R. Hood,A. Burks,C. Osman,C. Sexton,A. Žižić,7
R. Hood,A. Burks,C. Osman,C. Sexton,A. Žižić,3
R. Hood,A. Burks,C. Osman,C. Sexton,A. Žižić,2
J. Clarkson,A. Burks,C. Osman,C. Sexton,A. Žižić,0
J. Clarkson,J. Blossomgame,M. Dellavedova,C. Frye,C. Payne,3
J. Clarkson,J. Blossomgame,M. Dellavedova,C. Frye,C. Payne,4
J. Clarkson,J. Blossomgame,M. Dellavedova,C. Frye,C. Payne,0
M. Dellavedova,A. Žižić,J. Blossomgame,C. Payne,(5 sec,21
M. Dellavedova,A. Žižić,J. Blossomgame,C. Payne,(5 sec,2
M. Dellavedova,A. Žižić,J. Blossomgame,C. Payne,(5 sec,0
C. Sexton,A. Žižić,J. Blossomgame,C. Payne,(5 sec,12
C. Sexton,A. Žižić,J. Blossomgame,C. Payne,(5 sec,11
