W. Chandler,J. Embiid,J. Redick,J. Butler,B. Simmons,11,301
J. Bolden,T. McConnell,L. Shamet,J. Butler,B. Simmons,1,31
J. Bolden,T. McConnell,L. Shamet,J. Butler,B. Simmons,1,100
J. Bolden,T. McConnell,L. Shamet,J. Butler,B. Simmons,2,52
J. Embiid,T. McConnell,L. Shamet,J. Butler,B. Simmons,0,13
J. Embiid,T. McConnell,M. Muscala,W. Chandler,J. Redick,0,29
J. Embiid,T. McConnell,M. Muscala,W. Chandler,J. Redick,0,29
J. Embiid,T. McConnell,M. Muscala,W. Chandler,J. Redick,9,136
J. Embiid,T. McConnell,M. Muscala,W. Chandler,J. Redick,1,29
T. McConnell,M. Muscala,L. Shamet,J. Embiid,J. Butler,8,166
B. Simmons,M. Muscala,L. Shamet,J. Embiid,J. Butler,5,56
B. Simmons,W. Chandler,L. Shamet,J. Embiid,J. Butler,5,38
B. Simmons,W. Chandler,J. Redick,J. Embiid,J. Butler,1,23
B. Simmons,W. Chandler,J. Redick,J. Bolden,J. Butler,4,306
B. Simmons,W. Chandler,J. Redick,J. Embiid,J. Butler,5,71
B. Simmons,W. Chandler,J. Redick,J. Embiid,M. Muscala,3,60
W. Chandler,J. Embiid,J. Redick,J. Butler,B. Simmons,9,296
J. Bolden,T. McConnell,L. Shamet,J. Butler,B. Simmons,2,97
J. Bolden,T. McConnell,L. Shamet,J. Butler,B. Simmons,4,170
W. Chandler,T. McConnell,M. Muscala,J. Embiid,J. Redick,1,76
W. Chandler,T. McConnell,M. Muscala,J. Embiid,J. Redick,7,81
W. Chandler,T. McConnell,M. Muscala,J. Redick,J. Embiid,2,137
W. Chandler,T. McConnell,M. Muscala,J. Redick,J. Embiid,0,14
J. Butler,B. Simmons,M. Muscala,J. Redick,J. Embiid,12,160
J. Butler,B. Simmons,W. Chandler,L. Shamet,J. Embiid,2,37
J. Butler,B. Simmons,W. Chandler,L. Shamet,M. Muscala,4,91
J. Butler,B. Simmons,W. Chandler,L. Shamet,J. Embiid,0,20
J. Butler,B. Simmons,W. Chandler,J. Redick,J. Embiid,11,247
J. Butler,B. Simmons,W. Chandler,J. Redick,J. Embiid,5,14
