R. Hood,A. Burks,C. Sexton,A. Žižić,C. Osman,13,385
J. Clarkson,A. Burks,C. Sexton,A. Žižić,C. Osman,2,33
J. Clarkson,A. Burks,C. Sexton,A. Žižić,C. Osman,2,49
J. Clarkson,M. Dellavedova,C. Payne,A. Žižić,C. Osman,2,23
J. Clarkson,M. Dellavedova,C. Payne,C. Frye,C. Osman,0,33
J. Clarkson,M. Dellavedova,C. Payne,C. Frye,J. Blossomgame,11,197
C. Frye,M. Dellavedova,J. Clarkson,C. Payne,J. Blossomgame,4,136
A. Žižić,M. Dellavedova,J. Clarkson,C. Payne,J. Blossomgame,0,34
A. Žižić,M. Dellavedova,J. Clarkson,C. Payne,J. Blossomgame,2,18
A. Žižić,C. Sexton,J. Clarkson,C. Payne,J. Blossomgame,0,36
A. Žižić,C. Sexton,A. Burks,R. Hood,J. Blossomgame,3,201
A. Žižić,C. Sexton,A. Burks,R. Hood,J. Blossomgame,2,73
A. Žižić,C. Sexton,A. Burks,R. Hood,J. Blossomgame,0,16
A. Žižić,C. Sexton,C. Osman,R. Hood,J. Clarkson,0,51
A. Žižić,C. Sexton,C. Osman,J. Blossomgame,J. Clarkson,9,155
R. Hood,A. Žižić,C. Sexton,A. Burks,C. Osman,8,305
R. Hood,A. Žižić,C. Sexton,A. Burks,C. Osman,6,111
J. Clarkson,A. Žižić,C. Sexton,A. Burks,C. Osman,1,20
J. Clarkson,C. Frye,C. Sexton,A. Burks,C. Osman,1,52
J. Clarkson,C. Frye,M. Dellavedova,A. Burks,C. Osman,7,84
J. Clarkson,C. Frye,M. Dellavedova,J. Blossomgame,C. Osman,4,85
J. Clarkson,C. Frye,M. Dellavedova,J. Blossomgame,C. Payne,3,63
J. Blossomgame,J. Clarkson,C. Frye,M. Dellavedova,C. Payne,0,116
C. Osman,J. Clarkson,C. Frye,M. Dellavedova,C. Payne,7,160
C. Osman,R. Hood,A. Žižić,M. Dellavedova,C. Payne,3,56
C. Osman,R. Hood,A. Žižić,C. Sexton,C. Payne,1,21
C. Osman,R. Hood,A. Žižić,C. Sexton,A. Burks,0,45
C. Osman,R. Hood,A. Žižić,C. Sexton,A. Burks,0,49
C. Osman,R. Hood,A. Žižić,C. Sexton,A. Burks,8,110
C. Osman,J. Blossomgame,A. Žižić,C. Sexton,D. Adel,4,163
