E. Mudiay,L. Thomas,K. Knox,N. Vonleh,T. Hardaway,9,307
F. Ntilikina,L. Thomas,K. Knox,N. Vonleh,T. Hardaway,2,110
F. Ntilikina,A. Trier,K. Knox,N. Vonleh,T. Hardaway,2,21
F. Ntilikina,A. Trier,K. Knox,N. Vonleh,T. Hardaway,5,93
F. Ntilikina,A. Trier,D. Dotson,N. Vonleh,T. Hardaway,0,30
F. Ntilikina,A. Trier,D. Dotson,N. Vonleh,T. Hardaway,3,49
F. Ntilikina,A. Trier,D. Dotson,M. Robinson,T. Hardaway,4,59
F. Ntilikina,A. Trier,D. Dotson,M. Robinson,T. Hardaway,6,51
D. Dotson,F. Ntilikina,M. Robinson,E. Mudiay,A. Trier,4,83
D. Dotson,F. Ntilikina,M. Robinson,E. Mudiay,A. Trier,5,50
D. Dotson,F. Ntilikina,M. Robinson,E. Mudiay,A. Trier,5,106
T. Hardaway,F. Ntilikina,M. Robinson,E. Mudiay,A. Trier,2,74
T. Hardaway,K. Knox,N. Vonleh,E. Mudiay,A. Trier,10,144
T. Hardaway,K. Knox,N. Vonleh,E. Mudiay,A. Trier,4,139
T. Hardaway,K. Knox,N. Vonleh,E. Mudiay,A. Trier,0,34
T. Hardaway,K. Knox,N. Vonleh,F. Ntilikina,A. Trier,2,33
T. Hardaway,K. Knox,N. Vonleh,F. Ntilikina,D. Dotson,0,57
K. Knox,E. Mudiay,L. Thomas,T. Hardaway,N. Vonleh,4,242
K. Knox,E. Mudiay,L. Thomas,T. Hardaway,N. Vonleh,5,207
D. Dotson,F. Ntilikina,A. Trier,T. Hardaway,N. Vonleh,2,45
D. Dotson,F. Ntilikina,A. Trier,T. Hardaway,N. Vonleh,0,60
D. Dotson,F. Ntilikina,A. Trier,K. Knox,M. Robinson,4,166
F. Ntilikina,M. Robinson,K. Knox,D. Dotson,A. Trier,8,188
F. Ntilikina,M. Robinson,K. Knox,D. Dotson,A. Trier,4,162
T. Hardaway,N. Vonleh,K. Knox,D. Dotson,A. Trier,2,65
T. Hardaway,N. Vonleh,E. Mudiay,D. Dotson,A. Trier,1,101
T. Hardaway,M. Robinson,E. Mudiay,D. Dotson,A. Trier,0,20
T. Hardaway,M. Robinson,E. Mudiay,D. Dotson,A. Trier,6,86
T. Hardaway,N. Vonleh,E. Mudiay,D. Dotson,A. Trier,11,98
