J. Richardson,T. Johnson,H. Whiteside,J. Johnson,J. Winslow,13,376
D. Wade,T. Johnson,H. Whiteside,J. Johnson,J. Winslow,0,7
D. Wade,T. Johnson,H. Whiteside,J. Johnson,J. Winslow,5,50
D. Wade,R. McGruder,H. Whiteside,J. Johnson,J. Winslow,4,86
D. Wade,R. McGruder,B. Adebayo,J. Johnson,J. Winslow,0,71
D. Wade,R. McGruder,B. Adebayo,D. Jones,J. Richardson,5,130
R. McGruder,D. Wade,J. Richardson,B. Adebayo,D. Jones,4,179
T. Johnson,D. Wade,J. Richardson,B. Adebayo,D. Jones,4,111
T. Johnson,J. Winslow,J. Richardson,B. Adebayo,D. Jones,2,34
T. Johnson,J. Winslow,K. Olynyk,B. Adebayo,D. Jones,0,49
T. Johnson,J. Winslow,K. Olynyk,B. Adebayo,D. Jones,4,94
T. Johnson,J. Winslow,K. Olynyk,B. Adebayo,D. Jones,2,64
T. Johnson,J. Winslow,K. Olynyk,J. Richardson,H. Whiteside,0,63
T. Johnson,D. Wade,J. Johnson,J. Richardson,H. Whiteside,5,126
J. Richardson,T. Johnson,H. Whiteside,J. Winslow,J. Johnson,18,347
J. Richardson,T. Johnson,H. Whiteside,J. Winslow,J. Johnson,0,18
D. Wade,T. Johnson,H. Whiteside,J. Winslow,J. Johnson,1,34
D. Wade,T. Johnson,H. Whiteside,J. Winslow,J. Johnson,6,94
D. Wade,T. Johnson,H. Whiteside,J. Winslow,J. Johnson,7,141
D. Wade,B. Adebayo,J. Richardson,J. Winslow,J. Johnson,0,86
J. Winslow,D. Wade,D. Jones,B. Adebayo,J. Richardson,8,158
J. Winslow,D. Wade,D. Jones,B. Adebayo,J. Richardson,2,89
T. Johnson,D. Wade,D. Jones,B. Adebayo,J. Richardson,0,33
T. Johnson,D. Wade,D. Jones,B. Adebayo,J. Richardson,2,86
T. Johnson,D. Wade,D. Jones,B. Adebayo,J. Richardson,2,78
T. Johnson,J. Winslow,D. Jones,B. Adebayo,J. Richardson,2,56
R. McGruder,J. Winslow,D. Jones,B. Adebayo,J. Richardson,1,99
D. Wade,J. Winslow,D. Jones,B. Adebayo,J. Richardson,3,121
