M. Brogdon,G. Antetokounmpo,K. Middleton,E. Bledsoe,B. Lopez,13,277
S. Brown,G. Antetokounmpo,K. Middleton,E. Bledsoe,B. Lopez,0,85
S. Brown,D. Wilson,K. Middleton,E. Bledsoe,B. Lopez,5,97
S. Brown,D. Wilson,G. Hill,E. Bledsoe,B. Lopez,3,103
S. Brown,D. Wilson,G. Hill,M. Brogdon,E. İlyasova,2,115
S. Brown,G. Antetokounmpo,G. Hill,M. Brogdon,E. İlyasova,2,43
E. İlyasova,G. Hill,M. Brogdon,G. Antetokounmpo,T. Snell,2,131
D. Wilson,G. Hill,M. Brogdon,G. Antetokounmpo,T. Snell,5,130
D. Wilson,K. Middleton,M. Brogdon,G. Antetokounmpo,T. Snell,0,29
D. Wilson,K. Middleton,E. Bledsoe,G. Antetokounmpo,T. Snell,0,46
D. Wilson,K. Middleton,E. Bledsoe,B. Lopez,T. Snell,1,44
D. Wilson,K. Middleton,E. Bledsoe,B. Lopez,T. Snell,0,12
D. Wilson,K. Middleton,E. Bledsoe,B. Lopez,G. Hill,2,154
M. Brogdon,K. Middleton,G. Antetokounmpo,B. Lopez,G. Hill,5,114
M. Brogdon,E. Bledsoe,G. Antetokounmpo,B. Lopez,G. Hill,2,60
K. Middleton,G. Antetokounmpo,E. Bledsoe,M. Brogdon,B. Lopez,11,174
K. Middleton,G. Antetokounmpo,E. Bledsoe,M. Brogdon,B. Lopez,7,178
S. Brown,G. Antetokounmpo,E. Bledsoe,M. Brogdon,B. Lopez,0,86
S. Brown,T. Snell,D. Wilson,M. Brogdon,B. Lopez,3,91
S. Brown,T. Snell,D. Wilson,G. Hill,B. Lopez,3,20
S. Brown,T. Snell,D. Wilson,G. Hill,K. Middleton,9,88
S. Brown,T. Snell,G. Antetokounmpo,G. Hill,K. Middleton,3,50
S. Brown,T. Snell,D. Wilson,G. Hill,K. Middleton,1,33
S. Brown,T. Snell,G. Hill,G. Antetokounmpo,K. Middleton,3,154
E. Bledsoe,T. Snell,G. Hill,G. Antetokounmpo,K. Middleton,0,29
E. Bledsoe,M. Brogdon,G. Hill,G. Antetokounmpo,K. Middleton,0,24
E. Bledsoe,M. Brogdon,G. Hill,G. Antetokounmpo,K. Middleton,0,19
E. Bledsoe,M. Brogdon,B. Lopez,G. Antetokounmpo,K. Middleton,2,37
E. Bledsoe,M. Brogdon,B. Lopez,G. Antetokounmpo,K. Middleton,1,3
E. Bledsoe,M. Brogdon,B. Lopez,S. Brown,K. Middleton,0,43
E. Bledsoe,M. Brogdon,B. Lopez,G. Antetokounmpo,K. Middleton,10,160
E. Bledsoe,M. Brogdon,B. Lopez,G. Antetokounmpo,S. Brown,0,45
E. Bledsoe,M. Brogdon,K. Middleton,G. Antetokounmpo,S. Brown,12,159
E. Bledsoe,M. Brogdon,K. Middleton,G. Antetokounmpo,B. Lopez,2,22
E. Bledsoe,M. Brogdon,K. Middleton,G. Antetokounmpo,B. Lopez,3,15
E. Bledsoe,S. Brown,K. Middleton,G. Antetokounmpo,B. Lopez,0,10
