H. Diallo,P. George,J. Grant,N. Noel,R. Westbrook,17,347
H. Diallo,P. George,J. Grant,N. Noel,R. Westbrook,4,84
A. Nader,D. Schröder,J. Grant,N. Noel,R. Westbrook,0,53
A. Nader,D. Schröder,P. Patterson,N. Noel,R. Westbrook,4,67
A. Nader,D. Schröder,P. Patterson,J. Grant,R. Westbrook,4,92
A. Nader,D. Schröder,P. Patterson,J. Grant,P. George,3,77
A. Nader,D. Schröder,J. Grant,P. Patterson,P. George,10,242
Á. Abrines,R. Westbrook,J. Grant,P. Patterson,P. George,4,48
Á. Abrines,R. Westbrook,N. Noel,P. Patterson,P. George,2,106
Á. Abrines,R. Westbrook,N. Noel,P. Patterson,P. George,2,15
Á. Abrines,R. Westbrook,N. Noel,J. Grant,P. George,5,46
Á. Abrines,R. Westbrook,N. Noel,J. Grant,P. George,6,131
D. Schröder,R. Westbrook,N. Noel,J. Grant,P. George,8,132
P. George,N. Noel,H. Diallo,R. Westbrook,J. Grant,14,421
P. Patterson,D. Schröder,H. Diallo,R. Westbrook,J. Grant,0,10
P. Patterson,D. Schröder,A. Nader,R. Westbrook,J. Grant,1,60
P. Patterson,D. Schröder,A. Nader,R. Westbrook,J. Grant,2,129
P. Patterson,D. Schröder,A. Nader,P. George,J. Grant,5,100
A. Nader,P. George,P. Patterson,N. Noel,D. Schröder,2,99
H. Diallo,P. George,P. Patterson,N. Noel,D. Schröder,4,61
H. Diallo,J. Grant,R. Westbrook,N. Noel,D. Schröder,4,62
H. Diallo,J. Grant,R. Westbrook,N. Noel,D. Schröder,5,60
P. George,J. Grant,R. Westbrook,N. Noel,D. Schröder,6,104
P. George,J. Grant,R. Westbrook,A. Nader,D. Schröder,4,71
P. George,J. Grant,R. Westbrook,N. Noel,D. Schröder,10,263
