T. Bryant,T. Ariza,T. Satoranský,O. Porter,B. Beal,11,288
T. Bryant,T. Ariza,T. Satoranský,O. Porter,B. Beal,2,47
J. Green,T. Ariza,T. Satoranský,O. Porter,B. Beal,2,51
J. Green,T. Ariza,T. Satoranský,O. Porter,B. Beal,3,104
J. Green,S. Dekker,C. Randle,O. Porter,B. Beal,0,7
J. Green,S. Dekker,C. Randle,O. Porter,B. Beal,6,113
J. Green,S. Dekker,C. Randle,O. Porter,B. Beal,2,110
O. Porter,C. Randle,S. Dekker,T. Ariza,J. Green,0,26
T. Bryant,C. Randle,S. Dekker,T. Ariza,J. Green,4,58
T. Bryant,C. Randle,S. Dekker,T. Ariza,J. Green,8,159
T. Bryant,C. Randle,S. Dekker,T. Ariza,J. Green,2,54
B. Beal,T. Satoranský,S. Dekker,T. Ariza,J. Green,1,67
B. Beal,T. Satoranský,O. Porter,T. Ariza,J. Green,0,47
B. Beal,T. Satoranský,O. Porter,T. Ariza,J. Green,4,116
B. Beal,T. Bryant,O. Porter,T. Ariza,J. Green,2,70
C. Randle,T. Bryant,O. Porter,T. Ariza,J. Green,0,46
C. Randle,T. Bryant,O. Porter,T. Ariza,J. Green,0,53
B. Beal,T. Bryant,O. Porter,T. Ariza,J. Green,2,23
C. Randle,T. Bryant,O. Porter,T. Ariza,J. Green,1,1
T. Bryant,T. Ariza,O. Porter,T. Satoranský,B. Beal,9,285
J. Green,T. Ariza,O. Porter,T. Satoranský,B. Beal,6,79
J. Green,T. Ariza,O. Porter,T. Satoranský,B. Beal,8,98
J. Green,T. Ariza,O. Porter,T. Satoranský,B. Beal,2,10
J. Green,T. Ariza,O. Porter,T. Satoranský,B. Beal,5,158
J. Green,S. Dekker,J. McRae,T. Satoranský,B. Beal,1,37
J. Green,S. Dekker,J. McRae,T. Satoranský,B. Beal,3,53
S. Dekker,T. Ariza,B. Beal,J. Green,J. McRae,3,150
O. Porter,T. Ariza,B. Beal,J. Green,J. McRae,5,92
O. Porter,T. Ariza,B. Beal,J. Green,J. McRae,6,150
O. Porter,T. Ariza,B. Beal,J. Green,J. McRae,3,93
C. Randle,T. Brown,S. Dekker,J. Jenkins,J. McRae,14,235
