D. Dotson,D. Jordan,D. Smith,M. Hezonja,K. Knox,10
A. Trier,D. Jordan,D. Smith,M. Hezonja,K. Knox,9
A. Trier,M. Robinson,D. Smith,M. Hezonja,K. Knox,0
A. Trier,M. Robinson,K. Allen,M. Hezonja,K. Knox,0
A. Trier,M. Robinson,K. Allen,N. Vonleh,K. Knox,4
A. Trier,M. Robinson,K. Allen,N. Vonleh,K. Knox,0
A. Trier,M. Robinson,K. Allen,N. Vonleh,K. Knox,0
K. Allen,M. Robinson,K. Knox,A. Trier,N. Vonleh,9
D. Jordan,D. Smith,K. Knox,A. Trier,N. Vonleh,0
D. Jordan,D. Smith,D. Dotson,A. Trier,N. Vonleh,0
D. Jordan,D. Smith,D. Dotson,A. Trier,N. Vonleh,0
D. Jordan,D. Smith,D. Dotson,A. Trier,N. Vonleh,0
D. Jordan,D. Smith,D. Dotson,M. Hezonja,N. Vonleh,1
D. Jordan,D. Smith,D. Dotson,M. Hezonja,N. Vonleh,2
D. Jordan,D. Smith,D. Dotson,M. Hezonja,K. Knox,0
D. Jordan,D. Smith,M. Hezonja,D. Dotson,K. Knox,11
K. Allen,M. Robinson,M. Hezonja,D. Dotson,K. Knox,6
K. Allen,M. Robinson,N. Vonleh,D. Dotson,K. Knox,6
K. Allen,M. Robinson,N. Vonleh,A. Trier,K. Knox,3
K. Allen,M. Robinson,N. Vonleh,A. Trier,K. Knox,4
K. Allen,M. Robinson,N. Vonleh,A. Trier,K. Knox,0
K. Allen,M. Robinson,D. Smith,A. Trier,N. Vonleh,20
D. Jordan,K. Knox,D. Smith,A. Trier,N. Vonleh,1
D. Jordan,K. Knox,K. Allen,A. Trier,N. Vonleh,2
D. Jordan,K. Knox,K. Allen,D. Smith,N. Vonleh,2
D. Jordan,K. Knox,K. Allen,D. Smith,M. Hezonja,9
