J. Poeltl,D. Bertāns,B. Forbes,L. Aldridge,D. DeRozan,14,274
J. Poeltl,D. Bertāns,B. Forbes,L. Aldridge,D. DeRozan,3,68
D. Cunningham,D. Bertāns,B. Forbes,L. Aldridge,D. DeRozan,2,58
D. Cunningham,M. Belinelli,P. Mills,L. Aldridge,D. DeRozan,0,23
D. Cunningham,M. Belinelli,P. Mills,L. Aldridge,D. DeRozan,4,116
D. Cunningham,M. Belinelli,P. Mills,J. Poeltl,D. DeRozan,1,120
D. Cunningham,M. Belinelli,P. Mills,J. Poeltl,D. Bertāns,0,47
D. Cunningham,M. Belinelli,P. Mills,J. Poeltl,D. Bertāns,0,14
P. Mills,J. Poeltl,M. Belinelli,D. Cunningham,D. Bertāns,5,134
L. Aldridge,B. Forbes,M. Belinelli,D. Cunningham,D. Bertāns,3,69
L. Aldridge,B. Forbes,D. DeRozan,J. Poeltl,D. Bertāns,7,274
L. Aldridge,B. Forbes,D. DeRozan,P. Mills,M. Belinelli,0,7
L. Aldridge,B. Forbes,D. DeRozan,P. Mills,M. Belinelli,9,236
J. Poeltl,B. Forbes,D. DeRozan,L. Aldridge,D. Bertāns,6,296
M. Belinelli,B. Forbes,D. DeRozan,L. Aldridge,D. Bertāns,4,73
M. Belinelli,P. Mills,D. DeRozan,L. Aldridge,D. Bertāns,7,143
M. Belinelli,P. Mills,B. Forbes,L. Aldridge,D. Bertāns,4,56
M. Belinelli,P. Mills,B. Forbes,P. Gasol,D. Bertāns,3,76
M. Belinelli,P. Mills,B. Forbes,P. Gasol,D. Cunningham,1,35
M. Belinelli,P. Mills,B. Forbes,P. Gasol,D. Cunningham,2,41
M. Belinelli,P. Gasol,D. Cunningham,P. Mills,B. Forbes,2,98
L. Aldridge,D. DeRozan,D. Cunningham,P. Mills,B. Forbes,0,28
P. Gasol,D. DeRozan,D. Cunningham,P. Mills,B. Forbes,3,26
P. Gasol,D. DeRozan,M. Belinelli,D. Bertāns,B. Forbes,1,57
P. Gasol,D. DeRozan,M. Belinelli,D. Bertāns,B. Forbes,5,96
P. Mills,D. DeRozan,M. Belinelli,D. Bertāns,L. Aldridge,2,28
P. Mills,D. DeRozan,M. Belinelli,D. Bertāns,L. Aldridge,3,40
P. Mills,D. DeRozan,M. Belinelli,D. Bertāns,L. Aldridge,6,147
Q. Pondexter,J. Poeltl,D. Eubanks,C. Metu,D. Cunningham,0,35
Q. Pondexter,J. Poeltl,D. Eubanks,C. Metu,D. Cunningham,8,165
