J. Butler,J. Embiid,J. Redick,T. Harris,B. Simmons,18
J. Ennis,F. Korkmaz,B. Marjanović,T. Harris,B. Simmons,8
J. Ennis,F. Korkmaz,B. Marjanović,T. Harris,B. Simmons,2
J. Butler,T. McConnell,J. Redick,J. Embiid,M. Scott,0
J. Butler,T. McConnell,J. Redick,J. Embiid,M. Scott,7
J. Butler,T. McConnell,J. Redick,J. Embiid,M. Scott,0
J. Ennis,M. Scott,J. Butler,J. Embiid,T. McConnell,12
J. Ennis,M. Scott,J. Butler,J. Embiid,T. McConnell,1
T. Harris,J. Redick,J. Butler,J. Embiid,T. McConnell,5
T. Harris,J. Redick,J. Ennis,B. Marjanović,B. Simmons,6
T. Harris,J. Redick,J. Butler,J. Embiid,B. Simmons,13
M. Scott,J. Redick,J. Butler,J. Embiid,B. Simmons,3
M. Scott,J. Redick,J. Butler,J. Embiid,B. Simmons,1
B. Marjanović,J. Redick,J. Butler,J. Embiid,B. Simmons,0
J. Butler,J. Redick,J. Embiid,T. Harris,B. Simmons,7
J. Ennis,F. Korkmaz,J. Embiid,T. Harris,B. Simmons,4
J. Ennis,F. Korkmaz,B. Marjanović,T. Harris,B. Simmons,4
J. Ennis,F. Korkmaz,B. Marjanović,T. Harris,B. Simmons,8
J. Butler,T. McConnell,J. Redick,J. Embiid,M. Scott,0
J. Butler,T. McConnell,M. Scott,J. Embiid,F. Korkmaz,17
J. Butler,T. McConnell,M. Scott,J. Embiid,F. Korkmaz,0
J. Butler,T. McConnell,M. Scott,J. Embiid,F. Korkmaz,5
T. Harris,J. Redick,B. Simmons,J. Embiid,F. Korkmaz,1
T. Harris,J. Redick,B. Simmons,B. Marjanović,F. Korkmaz,1
T. Harris,J. Redick,B. Simmons,M. Scott,F. Korkmaz,7
T. Harris,J. Redick,B. Simmons,J. Embiid,F. Korkmaz,4
B. Marjanović,M. Scott,J. Simmons,J. Ennis,T. McConnell,9
