A. Horford,J. Tatum,M. Smart,M. Morris,G. Hayward,13
D. Theis,J. Tatum,M. Smart,M. Morris,G. Hayward,0
D. Theis,J. Brown,M. Smart,M. Morris,G. Hayward,0
D. Theis,J. Brown,M. Smart,M. Morris,G. Hayward,0
D. Theis,J. Brown,B. Wanamaker,M. Morris,G. Hayward,0
D. Theis,J. Brown,B. Wanamaker,S. Ojeleye,G. Hayward,3
A. Horford,J. Brown,B. Wanamaker,S. Ojeleye,G. Hayward,7
A. Horford,J. Brown,B. Wanamaker,S. Ojeleye,G. Hayward,3
A. Horford,J. Brown,B. Wanamaker,S. Ojeleye,J. Tatum,2
A. Horford,J. Brown,B. Wanamaker,G. Hayward,J. Tatum,0
A. Horford,B. Wanamaker,J. Brown,S. Ojeleye,J. Tatum,8
A. Horford,B. Wanamaker,J. Brown,S. Ojeleye,J. Tatum,4
D. Theis,B. Wanamaker,J. Brown,S. Ojeleye,J. Tatum,0
D. Theis,M. Smart,J. Brown,S. Ojeleye,J. Tatum,4
D. Theis,M. Smart,M. Morris,S. Ojeleye,J. Tatum,4
A. Horford,M. Smart,M. Morris,G. Hayward,J. Tatum,3
A. Horford,J. Brown,M. Morris,G. Hayward,J. Tatum,6
A. Horford,J. Brown,M. Morris,G. Hayward,J. Tatum,0
A. Horford,M. Morris,J. Tatum,G. Hayward,M. Smart,12
D. Theis,M. Morris,J. Tatum,G. Hayward,M. Smart,3
D. Theis,M. Morris,J. Tatum,G. Hayward,M. Smart,0
D. Theis,J. Brown,J. Tatum,G. Hayward,M. Smart,1
D. Theis,J. Brown,J. Tatum,G. Hayward,M. Smart,1
D. Theis,J. Brown,S. Ojeleye,G. Hayward,M. Smart,12
J. Tatum,J. Brown,S. Ojeleye,A. Horford,M. Smart,0
A. Horford,S. Ojeleye,J. Brown,B. Wanamaker,J. Tatum,14
M. Morris,D. Theis,J. Brown,B. Wanamaker,J. Tatum,0
M. Morris,D. Theis,G. Hayward,B. Wanamaker,J. Tatum,2
M. Morris,A. Horford,G. Hayward,M. Smart,J. Tatum,0
M. Morris,A. Horford,G. Hayward,M. Smart,J. Brown,12
D. Theis,A. Horford,G. Hayward,M. Smart,J. Brown,2
D. Theis,S. Ojeleye,G. Hayward,M. Smart,J. Brown,2
