K. Dunn,R. Lopez,O. Porter,L. Markkanen,Z. LaVine,15
K. Dunn,R. Lopez,O. Porter,L. Markkanen,Z. LaVine,8
R. Arcidiacono,C. Felício,W. Selden,L. Markkanen,Z. LaVine,3
R. Arcidiacono,C. Felício,W. Selden,T. Luwawu-Cabarrot,Z. LaVine,0
T. Luwawu-Cabarrot,C. Felício,W. Selden,R. Arcidiacono,S. Harrison,12
T. Luwawu-Cabarrot,C. Felício,W. Selden,R. Arcidiacono,S. Harrison,5
O. Porter,C. Felício,W. Selden,R. Arcidiacono,S. Harrison,3
O. Porter,C. Felício,W. Selden,R. Arcidiacono,S. Harrison,0
O. Porter,Z. LaVine,L. Markkanen,R. Arcidiacono,S. Harrison,7
O. Porter,Z. LaVine,L. Markkanen,R. Arcidiacono,S. Harrison,5
R. Lopez,Z. LaVine,L. Markkanen,K. Dunn,S. Harrison,6
R. Lopez,Z. LaVine,L. Markkanen,K. Dunn,S. Harrison,0
S. Harrison,R. Lopez,Z. LaVine,L. Markkanen,K. Dunn,18
S. Harrison,R. Lopez,Z. LaVine,L. Markkanen,K. Dunn,2
S. Harrison,R. Lopez,Z. LaVine,L. Markkanen,K. Dunn,3
C. Felício,W. Selden,Z. LaVine,L. Markkanen,K. Dunn,4
C. Felício,W. Selden,R. Arcidiacono,T. Luwawu-Cabarrot,K. Dunn,0
C. Felício,W. Selden,R. Arcidiacono,T. Luwawu-Cabarrot,K. Dunn,0
C. Felício,T. Luwawu-Cabarrot,W. Selden,Z. LaVine,R. Arcidiacono,3
L. Markkanen,T. Luwawu-Cabarrot,W. Selden,Z. LaVine,R. Arcidiacono,5
L. Markkanen,R. Lopez,W. Selden,Z. LaVine,R. Arcidiacono,3
L. Markkanen,R. Lopez,W. Selden,Z. LaVine,R. Arcidiacono,3
L. Markkanen,R. Lopez,W. Selden,Z. LaVine,R. Arcidiacono,2
L. Markkanen,R. Lopez,W. Selden,Z. LaVine,R. Arcidiacono,2
L. Markkanen,R. Lopez,W. Selden,Z. LaVine,R. Arcidiacono,11
L. Markkanen,R. Lopez,W. Selden,Z. LaVine,R. Arcidiacono,2
L. Markkanen,K. Dunn,W. Selden,Z. LaVine,R. Arcidiacono,4
