J. Butler,B. Marjanović,J. Redick,T. Harris,B. Simmons,12
J. Bolden,J. Ennis,J. Simmons,T. Harris,B. Simmons,1
J. Bolden,J. Ennis,J. Simmons,T. Harris,B. Simmons,4
J. Bolden,J. Ennis,J. Simmons,T. Harris,B. Simmons,2
J. Butler,B. Marjanović,M. Scott,T. McConnell,J. Redick,0
J. Butler,B. Marjanović,T. McConnell,J. Redick,M. Scott,14
J. Bolden,T. Harris,B. Simmons,J. Simmons,M. Scott,2
J. Bolden,T. Harris,B. Simmons,J. Simmons,M. Scott,2
J. Bolden,T. Harris,B. Simmons,J. Simmons,M. Scott,8
J. Bolden,T. Harris,B. Simmons,J. Simmons,M. Scott,2
J. Bolden,T. Harris,B. Simmons,J. Redick,J. Butler,0
B. Marjanović,T. Harris,B. Simmons,J. Redick,J. Butler,2
B. Marjanović,T. Harris,B. Simmons,J. Redick,J. Butler,0
B. Marjanović,J. Butler,J. Redick,T. Harris,B. Simmons,11
A. Johnson,J. Butler,J. Redick,T. Harris,B. Simmons,2
A. Johnson,M. Scott,J. Simmons,T. Harris,B. Simmons,7
T. McConnell,M. Scott,J. Simmons,T. Harris,B. Simmons,0
T. McConnell,M. Scott,J. Simmons,T. Harris,B. Simmons,2
T. McConnell,M. Scott,J. Simmons,T. Harris,B. Simmons,6
T. McConnell,M. Scott,J. Redick,J. Butler,B. Simmons,5
T. McConnell,M. Scott,J. Redick,J. Butler,B. Simmons,0
T. McConnell,M. Scott,J. Redick,J. Butler,B. Simmons,0
T. McConnell,M. Scott,J. Redick,J. Butler,B. Simmons,0
T. McConnell,J. Butler,J. Redick,T. Harris,M. Scott,3
B. Simmons,J. Butler,J. Redick,T. Harris,M. Scott,12
B. Simmons,T. McConnell,J. Simmons,T. Harris,M. Scott,2
J. Ennis,T. McConnell,J. Simmons,J. Bolden,M. Scott,0
J. Ennis,T. McConnell,J. Simmons,J. Bolden,M. Scott,16
