B. Knight,C. Sexton,K. Love,A. Žižić,C. Osman,0,297
J. Clarkson,M. Dellavedova,K. Love,A. Žižić,C. Osman,9,158
J. Clarkson,M. Dellavedova,M. Chriss,L. Nance,C. Osman,2,28
J. Clarkson,M. Dellavedova,M. Chriss,L. Nance,C. Osman,0,25
J. Clarkson,M. Dellavedova,M. Chriss,L. Nance,D. Nwaba,0,40
J. Clarkson,M. Dellavedova,M. Chriss,L. Nance,D. Nwaba,7,172
M. Dellavedova,J. Clarkson,L. Nance,D. Nwaba,N. Stauskas,0,69
C. Sexton,J. Clarkson,L. Nance,D. Nwaba,N. Stauskas,3,39
C. Sexton,B. Knight,L. Nance,D. Nwaba,N. Stauskas,3,132
C. Sexton,B. Knight,K. Love,A. Žižić,N. Stauskas,2,52
C. Sexton,B. Knight,K. Love,A. Žižić,C. Osman,6,80
C. Sexton,B. Knight,K. Love,A. Žižić,C. Osman,3,42
C. Sexton,B. Knight,K. Love,A. Žižić,C. Osman,8,218
C. Sexton,J. Clarkson,L. Nance,A. Žižić,C. Osman,5,88
B. Knight,K. Love,A. Žižić,C. Osman,C. Sexton,17,350
J. Clarkson,K. Love,A. Žižić,C. Osman,C. Sexton,2,22
J. Clarkson,M. Chriss,L. Nance,C. Osman,C. Sexton,1,58
J. Clarkson,M. Chriss,L. Nance,C. Osman,C. Sexton,6,103
J. Clarkson,M. Chriss,L. Nance,M. Dellavedova,D. Nwaba,5,116
J. Clarkson,M. Chriss,L. Nance,M. Dellavedova,D. Nwaba,5,71
M. Chriss,D. Nwaba,M. Dellavedova,J. Clarkson,L. Nance,6,203
M. Chriss,D. Nwaba,M. Dellavedova,J. Clarkson,L. Nance,0,56
K. Love,C. Osman,M. Dellavedova,J. Clarkson,L. Nance,2,52
K. Love,C. Osman,C. Sexton,J. Clarkson,L. Nance,4,53
K. Love,C. Osman,C. Sexton,J. Clarkson,L. Nance,6,75
K. Love,C. Osman,C. Sexton,J. Clarkson,L. Nance,8,281
