D. Dotson,N. Vonleh,L. Thomas,D. Smith,K. Knox,4
E. Mudiay,M. Robinson,L. Thomas,D. Smith,K. Knox,0
E. Mudiay,M. Robinson,H. Ellenson,D. Smith,K. Knox,2
E. Mudiay,M. Robinson,H. Ellenson,D. Smith,K. Knox,0
E. Mudiay,M. Robinson,H. Ellenson,D. Dotson,K. Knox,2
E. Mudiay,M. Robinson,H. Ellenson,D. Dotson,K. Knox,0
E. Mudiay,J. Jenkins,M. Robinson,A. Trier,H. Ellenson,31
D. Smith,J. Jenkins,M. Robinson,A. Trier,H. Ellenson,2
D. Smith,J. Jenkins,M. Robinson,A. Trier,H. Ellenson,2
D. Smith,K. Knox,N. Vonleh,A. Trier,H. Ellenson,0
D. Smith,K. Knox,N. Vonleh,E. Mudiay,H. Ellenson,12
D. Smith,L. Thomas,N. Vonleh,E. Mudiay,H. Ellenson,0
D. Dotson,M. Robinson,D. Smith,L. Thomas,K. Knox,17
H. Ellenson,M. Robinson,D. Smith,L. Thomas,K. Knox,2
H. Ellenson,J. Jenkins,E. Mudiay,N. Vonleh,K. Knox,4
H. Ellenson,J. Jenkins,E. Mudiay,N. Vonleh,A. Trier,0
L. Kornet,J. Jenkins,E. Mudiay,H. Ellenson,A. Trier,7
L. Kornet,J. Jenkins,E. Mudiay,H. Ellenson,A. Trier,4
M. Robinson,J. Jenkins,E. Mudiay,H. Ellenson,A. Trier,1
M. Robinson,J. Jenkins,E. Mudiay,H. Ellenson,A. Trier,4
M. Robinson,J. Jenkins,E. Mudiay,H. Ellenson,A. Trier,4
M. Robinson,J. Jenkins,E. Mudiay,H. Ellenson,A. Trier,7
M. Robinson,L. Thomas,E. Mudiay,H. Ellenson,A. Trier,1
J. Jenkins,L. Thomas,E. Mudiay,H. Ellenson,A. Trier,1
M. Robinson,L. Thomas,E. Mudiay,H. Ellenson,A. Trier,1
