K. Huerter,D. Dedmon,O. Spellman,T. Prince,T. Young,8
K. Bazemore,D. Dedmon,O. Spellman,T. Prince,T. Young,7
K. Bazemore,V. Carter,A. Len,T. Prince,T. Young,1
K. Bazemore,V. Carter,A. Len,J. Adams,D. Bembry,12
J. Anderson,V. Carter,A. Len,J. Adams,D. Bembry,0
J. Anderson,K. Huerter,D. Dedmon,O. Spellman,T. Young,11
T. Prince,K. Huerter,D. Dedmon,O. Spellman,T. Young,2
T. Prince,K. Huerter,D. Dedmon,O. Spellman,T. Young,0
T. Prince,K. Huerter,D. Dedmon,O. Spellman,T. Young,0
T. Prince,K. Huerter,D. Dedmon,O. Spellman,T. Young,2
T. Prince,K. Bazemore,D. Dedmon,O. Spellman,T. Young,7
T. Prince,K. Bazemore,V. Carter,A. Len,T. Young,1
D. Bembry,K. Bazemore,V. Carter,A. Len,T. Young,3
D. Bembry,K. Bazemore,V. Carter,A. Len,J. Adams,6
D. Bembry,K. Bazemore,V. Carter,J. Anderson,J. Adams,0
T. Prince,O. Spellman,D. Dedmon,K. Huerter,T. Young,12
K. Bazemore,V. Carter,D. Dedmon,K. Huerter,T. Young,10
K. Bazemore,V. Carter,J. Adams,D. Bembry,A. Len,0
K. Bazemore,V. Carter,J. Adams,D. Bembry,A. Len,2
O. Spellman,T. Young,K. Huerter,D. Bembry,A. Len,0
O. Spellman,T. Young,K. Huerter,D. Bembry,A. Len,0
D. Dedmon,T. Young,K. Huerter,D. Bembry,A. Len,0
A. Len,K. Huerter,T. Young,T. Prince,D. Dedmon,3
A. Len,K. Huerter,T. Young,T. Prince,D. Dedmon,1
V. Carter,K. Huerter,T. Young,T. Prince,D. Dedmon,7
V. Carter,D. Bembry,T. Young,T. Prince,D. Dedmon,12
V. Carter,D. Bembry,T. Young,T. Prince,D. Dedmon,10
V. Carter,D. Bembry,T. Young,T. Prince,D. Dedmon,4
V. Carter,D. Bembry,T. Young,T. Prince,D. Dedmon,3
V. Carter,D. Bembry,K. Bazemore,T. Prince,D. Dedmon,0
V. Carter,T. Young,A. Len,T. Prince,D. Dedmon,37
