J. Lin,M. Gasol,D. Green,K. Lowry,P. Siakam,4,317
J. Lin,M. Gasol,D. Green,K. Lowry,P. Siakam,3,142
N. Powell,M. Gasol,D. Green,K. Lowry,P. Siakam,2,12
N. Powell,S. Ibaka,D. Green,K. Lowry,P. Siakam,3,42
N. Powell,S. Ibaka,D. Green,K. Lowry,P. Siakam,4,106
N. Powell,S. Ibaka,O. Anunoby,M. Gasol,J. Lin,3,101
M. Gasol,N. Powell,J. Lin,S. Ibaka,O. Anunoby,7,196
P. McCaw,P. Siakam,J. Lin,S. Ibaka,O. Anunoby,2,77
P. McCaw,P. Siakam,K. Lowry,S. Ibaka,O. Anunoby,2,58
P. McCaw,P. Siakam,K. Lowry,S. Ibaka,O. Anunoby,4,105
P. McCaw,P. Siakam,K. Lowry,M. Gasol,O. Anunoby,7,226
P. McCaw,P. Siakam,K. Lowry,M. Gasol,D. Green,0,27
P. McCaw,O. Anunoby,K. Lowry,M. Gasol,D. Green,1,20
P. McCaw,O. Anunoby,K. Lowry,M. Gasol,D. Green,2,11
P. McCaw,O. Anunoby,K. Lowry,M. Gasol,D. Green,1,0
D. Green,J. Lin,M. Gasol,P. Siakam,K. Lowry,0,22
D. Green,J. Lin,M. Gasol,P. Siakam,K. Lowry,16,295
O. Anunoby,J. Lin,M. Gasol,P. Siakam,K. Lowry,0,58
O. Anunoby,N. Powell,M. Gasol,P. Siakam,K. Lowry,5,61
O. Anunoby,N. Powell,M. Gasol,P. Siakam,K. Lowry,9,137
O. Anunoby,N. Powell,S. Ibaka,P. McCaw,K. Lowry,3,71
O. Anunoby,N. Powell,S. Ibaka,P. McCaw,J. Lin,0,76
P. McCaw,J. Lin,O. Anunoby,S. Ibaka,N. Powell,0,68
P. Siakam,J. Lin,O. Anunoby,S. Ibaka,N. Powell,4,138
P. Siakam,K. Lowry,O. Anunoby,S. Ibaka,N. Powell,2,37
P. Siakam,K. Lowry,O. Anunoby,S. Ibaka,N. Powell,0,17
P. Siakam,K. Lowry,D. Green,S. Ibaka,N. Powell,2,43
P. Siakam,K. Lowry,D. Green,S. Ibaka,N. Powell,2,89
P. Siakam,K. Lowry,D. Green,O. Anunoby,M. Gasol,10,287
P. Siakam,K. Lowry,D. Green,O. Anunoby,M. Gasol,2,40
P. Siakam,K. Lowry,D. Green,O. Anunoby,M. Gasol,7,1
