K. Dunn,L. Markkanen,O. Porter,R. Lopez,Z. LaVine,18,407
R. Arcidiacono,L. Markkanen,O. Porter,R. Lopez,Z. LaVine,5,127
R. Arcidiacono,L. Markkanen,O. Porter,R. Lopez,Z. LaVine,1,5
R. Arcidiacono,W. Selden,O. Porter,R. Lopez,Z. LaVine,0,31
R. Arcidiacono,W. Selden,T. Luwawu-Cabarrot,R. Lopez,Z. LaVine,0,25
R. Arcidiacono,W. Selden,T. Luwawu-Cabarrot,C. Felício,Z. LaVine,3,96
R. Arcidiacono,W. Selden,T. Luwawu-Cabarrot,C. Felício,Z. LaVine,3,29
C. Felício,T. Luwawu-Cabarrot,R. Arcidiacono,W. Selden,S. Harrison,2,104
L. Markkanen,T. Luwawu-Cabarrot,R. Arcidiacono,W. Selden,S. Harrison,5,120
L. Markkanen,O. Porter,R. Arcidiacono,W. Selden,S. Harrison,1,11
L. Markkanen,O. Porter,R. Arcidiacono,W. Selden,S. Harrison,5,53
L. Markkanen,O. Porter,K. Dunn,W. Selden,S. Harrison,2,29
R. Lopez,O. Porter,K. Dunn,W. Selden,S. Harrison,0,14
R. Lopez,O. Porter,K. Dunn,Z. LaVine,S. Harrison,6,69
R. Lopez,O. Porter,K. Dunn,Z. LaVine,S. Harrison,2,61
R. Lopez,O. Porter,K. Dunn,Z. LaVine,S. Harrison,2,55
R. Lopez,O. Porter,K. Dunn,Z. LaVine,L. Markkanen,11,204
K. Dunn,O. Porter,L. Markkanen,Z. LaVine,R. Lopez,4,242
K. Dunn,O. Porter,L. Markkanen,Z. LaVine,R. Lopez,0,149
R. Arcidiacono,O. Porter,L. Markkanen,Z. LaVine,R. Lopez,4,117
R. Arcidiacono,W. Selden,L. Markkanen,Z. LaVine,R. Lopez,4,165
R. Arcidiacono,W. Selden,T. Luwawu-Cabarrot,Z. LaVine,R. Lopez,0,20
R. Arcidiacono,W. Selden,T. Luwawu-Cabarrot,S. Harrison,R. Lopez,2,27
T. Luwawu-Cabarrot,W. Selden,C. Felício,R. Arcidiacono,S. Harrison,5,198
L. Markkanen,W. Selden,C. Felício,R. Arcidiacono,S. Harrison,0,26
L. Markkanen,Z. LaVine,C. Felício,R. Arcidiacono,S. Harrison,1,5
L. Markkanen,Z. LaVine,O. Porter,R. Arcidiacono,S. Harrison,0,18
L. Markkanen,Z. LaVine,O. Porter,K. Dunn,R. Lopez,16,430
L. Markkanen,Z. LaVine,O. Porter,K. Dunn,R. Lopez,0,16
L. Markkanen,Z. LaVine,O. Porter,K. Dunn,W. Selden,0,1
L. Markkanen,Z. LaVine,O. Porter,K. Dunn,R. Lopez,2,5
L. Markkanen,Z. LaVine,R. Arcidiacono,K. Dunn,R. Lopez,0,21
