R. Arcidiacono,O. Porter,K. Dunn,L. Markkanen,R. Lopez,18,357
S. Harrison,O. Porter,K. Dunn,L. Markkanen,R. Lopez,5,104
S. Harrison,O. Porter,K. Dunn,L. Markkanen,R. Lopez,0,19
S. Harrison,W. Selden,K. Dunn,L. Markkanen,R. Lopez,4,85
S. Harrison,W. Selden,R. Arcidiacono,L. Markkanen,R. Lopez,2,23
S. Harrison,W. Selden,R. Arcidiacono,T. Luwawu-Cabarrot,R. Lopez,5,132
S. Harrison,C. Felício,O. Porter,R. Arcidiacono,T. Luwawu-Cabarrot,2,136
K. Dunn,C. Felício,O. Porter,R. Arcidiacono,T. Luwawu-Cabarrot,2,78
K. Dunn,L. Markkanen,O. Porter,R. Arcidiacono,T. Luwawu-Cabarrot,1,21
K. Dunn,L. Markkanen,W. Selden,R. Arcidiacono,T. Luwawu-Cabarrot,6,104
K. Dunn,L. Markkanen,W. Selden,S. Harrison,T. Luwawu-Cabarrot,3,54
K. Dunn,L. Markkanen,W. Selden,S. Harrison,T. Luwawu-Cabarrot,3,50
K. Dunn,O. Porter,W. Selden,S. Harrison,R. Lopez,0,9
R. Arcidiacono,O. Porter,W. Selden,S. Harrison,R. Lopez,7,155
R. Arcidiacono,O. Porter,W. Selden,S. Harrison,R. Lopez,2,113
K. Dunn,O. Porter,R. Arcidiacono,L. Markkanen,R. Lopez,19,362
S. Harrison,O. Porter,R. Arcidiacono,L. Markkanen,R. Lopez,2,154
S. Harrison,W. Selden,R. Arcidiacono,L. Markkanen,R. Lopez,2,18
S. Harrison,W. Selden,A. Blakeney,L. Markkanen,R. Lopez,1,47
S. Harrison,W. Selden,A. Blakeney,K. Dunn,R. Lopez,0,42
S. Harrison,L. Markkanen,A. Blakeney,K. Dunn,R. Lopez,0,93
S. Harrison,L. Markkanen,A. Blakeney,K. Dunn,R. Lopez,0,4
S. Harrison,C. Felício,A. Blakeney,K. Dunn,L. Markkanen,8,113
S. Harrison,C. Felício,A. Blakeney,K. Dunn,L. Markkanen,0,36
O. Porter,C. Felício,A. Blakeney,K. Dunn,L. Markkanen,4,67
O. Porter,R. Lopez,A. Blakeney,K. Dunn,L. Markkanen,3,147
O. Porter,R. Lopez,R. Arcidiacono,K. Dunn,L. Markkanen,2,57
O. Porter,R. Lopez,R. Arcidiacono,K. Dunn,L. Markkanen,4,175
B. Sampson,S. Harrison,A. Blakeney,C. Felício,T. Luwawu-Cabarrot,2,125
