A. Wiggins,K. Towns,T. Jones,J. Okogie,D. Šarić,10,307
A. Wiggins,K. Towns,T. Jones,J. Okogie,D. Šarić,5,77
K. Bates-Diop,K. Towns,T. Jones,J. Okogie,D. Šarić,0,1
K. Bates-Diop,T. Gibson,T. Jones,J. Okogie,D. Šarić,8,183
K. Bates-Diop,T. Gibson,J. Bayless,C. Reynolds,A. Tolliver,0,33
K. Bates-Diop,T. Gibson,J. Bayless,C. Reynolds,A. Tolliver,2,119
K. Bates-Diop,K. Towns,J. Bayless,C. Reynolds,A. Tolliver,0,0
K. Bates-Diop,T. Gibson,C. Reynolds,A. Tolliver,J. Bayless,4,86
K. Bates-Diop,T. Gibson,C. Reynolds,A. Tolliver,J. Bayless,2,51
K. Bates-Diop,T. Gibson,C. Reynolds,A. Tolliver,J. Bayless,0,98
G. Dieng,A. Wiggins,C. Reynolds,A. Tolliver,J. Bayless,9,189
T. Jones,A. Wiggins,D. Šarić,K. Towns,J. Bayless,5,88
T. Jones,A. Wiggins,G. Dieng,K. Towns,J. Bayless,4,62
T. Jones,A. Wiggins,G. Dieng,K. Towns,J. Bayless,3,120
T. Jones,A. Wiggins,A. Tolliver,K. Towns,J. Bayless,2,20
T. Jones,A. Wiggins,A. Tolliver,G. Dieng,J. Bayless,1,6
J. Okogie,D. Šarić,A. Wiggins,T. Jones,K. Towns,15,241
J. Okogie,D. Šarić,A. Wiggins,T. Jones,K. Towns,0,121
K. Bates-Diop,D. Šarić,A. Wiggins,T. Jones,K. Towns,0,77
K. Bates-Diop,T. Gibson,A. Wiggins,T. Jones,K. Towns,1,51
K. Bates-Diop,T. Gibson,C. Reynolds,T. Jones,K. Towns,5,33
K. Bates-Diop,T. Gibson,C. Reynolds,T. Jones,K. Towns,3,86
K. Bates-Diop,T. Gibson,C. Reynolds,J. Bayless,A. Tolliver,2,108
K. Bates-Diop,K. Towns,C. Reynolds,J. Bayless,A. Tolliver,0,3
T. Gibson,A. Wiggins,A. Tolliver,K. Bates-Diop,J. Bayless,0,54
T. Gibson,A. Wiggins,A. Tolliver,K. Bates-Diop,J. Bayless,0,61
T. Gibson,A. Wiggins,A. Tolliver,K. Bates-Diop,J. Bayless,2,46
K. Towns,A. Wiggins,A. Tolliver,K. Bates-Diop,J. Bayless,6,125
K. Towns,T. Jones,A. Tolliver,K. Bates-Diop,J. Bayless,2,13
K. Towns,T. Jones,A. Tolliver,K. Bates-Diop,J. Bayless,1,36
K. Towns,T. Jones,D. Šarić,K. Bates-Diop,J. Bayless,0,65
K. Towns,T. Jones,D. Šarić,C. Reynolds,A. Wiggins,2,67
T. Gibson,T. Jones,D. Šarić,C. Reynolds,A. Wiggins,0,13
T. Gibson,T. Jones,D. Šarić,K. Bates-Diop,A. Wiggins,2,57
G. Dieng,C. Reynolds,J. Terrell,K. Bates-Diop,C. Williams,0,62
G. Dieng,C. Reynolds,J. Terrell,K. Bates-Diop,C. Williams,4,121
