T. Daniels,D. Ayton,D. Bender,K. Oubre,D. Booker,16,325
T. Daniels,D. Ayton,D. Bender,K. Oubre,D. Booker,2,100
M. Bridges,D. Ayton,D. Bender,K. Oubre,D. Booker,4,51
M. Bridges,R. Holmes,J. Jackson,K. Oubre,D. Booker,5,114
M. Bridges,R. Holmes,J. Jackson,J. Crawford,D. Booker,3,93
M. Bridges,R. Holmes,J. Jackson,J. Crawford,D. Booker,1,37
R. Holmes,T. Daniels,J. Crawford,J. Jackson,M. Bridges,2,93
D. Ayton,T. Daniels,J. Crawford,J. Jackson,M. Bridges,2,86
D. Ayton,T. Daniels,J. Crawford,J. Jackson,M. Bridges,2,34
D. Ayton,K. Oubre,J. Crawford,J. Jackson,M. Bridges,2,92
D. Ayton,K. Oubre,J. Crawford,J. Jackson,M. Bridges,2,58
D. Ayton,K. Oubre,D. Booker,J. Jackson,M. Bridges,2,21
D. Ayton,K. Oubre,D. Booker,J. Jackson,M. Bridges,0,22
D. Ayton,K. Oubre,D. Booker,D. Bender,M. Bridges,3,145
D. Ayton,K. Oubre,D. Booker,D. Bender,M. Bridges,2,16
R. Holmes,K. Oubre,D. Booker,D. Bender,M. Bridges,9,153
T. Daniels,D. Ayton,D. Bender,D. Booker,K. Oubre,5,166
M. Bridges,D. Ayton,D. Bender,D. Booker,K. Oubre,5,138
M. Bridges,D. Ayton,D. Bender,D. Booker,K. Oubre,3,123
M. Bridges,R. Holmes,J. Jackson,D. Booker,K. Oubre,8,122
M. Bridges,R. Holmes,J. Jackson,J. Crawford,K. Oubre,5,82
M. Bridges,R. Holmes,J. Jackson,J. Crawford,K. Oubre,2,89
T. Daniels,R. Holmes,M. Bridges,J. Crawford,J. Jackson,2,114
D. Booker,R. Holmes,M. Bridges,J. Crawford,J. Jackson,0,37
D. Booker,D. Ayton,M. Bridges,J. Crawford,J. Jackson,2,79
D. Booker,D. Ayton,M. Bridges,J. Crawford,J. Jackson,4,148
D. Booker,D. Ayton,K. Oubre,J. Crawford,J. Jackson,3,67
D. Booker,D. Ayton,K. Oubre,M. Bridges,J. Jackson,0,25
D. Booker,D. Ayton,K. Oubre,M. Bridges,J. Jackson,6,239
D. Bender,D. Ayton,K. Oubre,M. Bridges,D. Booker,0,11
