T. Young,B. Bogdanović,D. Collison,W. Matthews,M. Turner,17,316
T. Young,B. Bogdanović,D. Collison,W. Matthews,M. Turner,6,120
D. Sabonis,B. Bogdanović,D. Collison,W. Matthews,M. Turner,0,15
D. Sabonis,C. Joseph,D. Collison,W. Matthews,M. Turner,0,43
D. Sabonis,C. Joseph,D. Collison,W. Matthews,M. Turner,6,108
D. Sabonis,C. Joseph,T. Evans,D. McDermott,M. Turner,1,13
D. Sabonis,C. Joseph,T. Evans,D. McDermott,T. Young,6,105
T. Young,T. Evans,D. McDermott,C. Joseph,D. Sabonis,4,122
T. Young,T. Evans,D. McDermott,C. Joseph,D. Sabonis,4,89
M. Turner,T. Evans,D. McDermott,C. Joseph,D. Sabonis,0,11
M. Turner,W. Matthews,D. McDermott,C. Joseph,D. Sabonis,5,111
M. Turner,W. Matthews,B. Bogdanović,C. Joseph,D. Sabonis,0,26
M. Turner,W. Matthews,B. Bogdanović,C. Joseph,D. Sabonis,0,20
M. Turner,W. Matthews,B. Bogdanović,D. Collison,T. Young,10,247
M. Turner,W. Matthews,B. Bogdanović,D. Collison,T. Young,1,94
T. Young,B. Bogdanović,W. Matthews,D. Collison,M. Turner,5,369
D. Sabonis,B. Bogdanović,W. Matthews,D. Collison,M. Turner,0,22
D. Sabonis,B. Bogdanović,W. Matthews,D. Collison,M. Turner,2,37
D. Sabonis,B. Bogdanović,W. Matthews,D. Collison,M. Turner,2,92
D. Sabonis,T. Evans,C. Joseph,D. Collison,M. Turner,0,15
D. Sabonis,T. Evans,C. Joseph,D. McDermott,M. Turner,2,23
D. Sabonis,T. Evans,C. Joseph,D. McDermott,M. Turner,3,145
D. Sabonis,T. Evans,C. Joseph,D. McDermott,T. Young,1,17
D. McDermott,T. Young,T. Evans,C. Joseph,D. Sabonis,5,151
B. Bogdanović,T. Young,T. Evans,C. Joseph,D. Sabonis,3,146
B. Bogdanović,T. Young,T. Evans,C. Joseph,D. Sabonis,2,62
B. Bogdanović,M. Turner,T. Evans,C. Joseph,D. Sabonis,0,38
B. Bogdanović,M. Turner,D. Collison,W. Matthews,D. Sabonis,2,98
B. Bogdanović,M. Turner,D. Collison,W. Matthews,T. Young,4,49
B. Bogdanović,M. Turner,D. Collison,W. Matthews,T. Young,3,101
B. Bogdanović,M. Turner,D. Collison,W. Matthews,T. Young,5,48
B. Bogdanović,M. Turner,D. Collison,W. Matthews,T. Young,1,20
B. Bogdanović,M. Turner,D. Collison,W. Matthews,T. Young,0,7
