A. Aminu,J. Layman,M. Harkless,J. Nurkić,D. Lillard,12,424
S. Curry,R. Hood,M. Harkless,J. Nurkić,D. Lillard,2,54
S. Curry,R. Hood,M. Harkless,J. Nurkić,D. Lillard,2,30
S. Curry,R. Hood,Z. Collins,E. Freedom,D. Lillard,2,32
S. Curry,R. Hood,Z. Collins,E. Freedom,D. Lillard,0,14
S. Curry,J. Layman,Z. Collins,E. Freedom,D. Lillard,2,50
S. Curry,J. Layman,Z. Collins,E. Freedom,D. Lillard,3,31
S. Curry,R. Hood,Z. Collins,E. Freedom,D. Lillard,5,85
S. Curry,E. Freedom,R. Hood,E. Turner,Z. Collins,4,228
D. Lillard,E. Freedom,R. Hood,E. Turner,Z. Collins,6,94
D. Lillard,J. Nurkić,R. Hood,E. Turner,Z. Collins,3,103
D. Lillard,J. Nurkić,M. Harkless,E. Turner,Z. Collins,5,93
D. Lillard,J. Nurkić,M. Harkless,R. Hood,Z. Collins,0,49
D. Lillard,E. Freedom,M. Harkless,R. Hood,Z. Collins,9,153
R. Hood,M. Harkless,J. Nurkić,D. Lillard,A. Aminu,22,373
J. Layman,M. Harkless,J. Nurkić,D. Lillard,A. Aminu,0,55
J. Layman,M. Harkless,J. Nurkić,D. Lillard,A. Aminu,3,35
J. Layman,S. Curry,J. Nurkić,D. Lillard,A. Aminu,5,114
J. Layman,S. Curry,J. Nurkić,D. Lillard,A. Aminu,3,30
J. Layman,S. Curry,J. Nurkić,D. Lillard,A. Aminu,0,108
J. Layman,S. Curry,R. Hood,D. Lillard,A. Aminu,0,3
E. Turner,S. Curry,R. Hood,D. Lillard,A. Aminu,0,2
R. Hood,Z. Collins,E. Freedom,E. Turner,S. Curry,5,242
D. Lillard,Z. Collins,E. Freedom,E. Turner,S. Curry,3,54
D. Lillard,A. Aminu,J. Nurkić,E. Turner,S. Curry,2,69
D. Lillard,A. Aminu,J. Nurkić,M. Harkless,S. Curry,2,71
D. Lillard,A. Aminu,J. Nurkić,M. Harkless,S. Curry,0,65
D. Lillard,A. Aminu,J. Nurkić,M. Harkless,S. Curry,2,165
D. Lillard,A. Aminu,Z. Collins,M. Harkless,S. Curry,0,23
D. Lillard,A. Aminu,Z. Collins,E. Turner,S. Curry,2,7
D. Lillard,A. Aminu,M. Harkless,E. Turner,S. Curry,2,9
D. Lillard,A. Aminu,M. Harkless,E. Turner,S. Curry,0,15
