K. Lowry,M. Gasol,D. Green,P. Siakam,F. VanVleet,22,374
K. Lowry,M. Gasol,D. Green,P. Siakam,F. VanVleet,2,82
J. Lin,M. Gasol,D. Green,P. Siakam,F. VanVleet,4,103
J. Lin,O. Anunoby,E. Moreland,N. Powell,F. VanVleet,7,99
J. Lin,O. Anunoby,E. Moreland,N. Powell,F. VanVleet,1,35
J. Lin,O. Anunoby,P. McCaw,N. Powell,F. VanVleet,2,26
J. Lin,O. Anunoby,P. McCaw,N. Powell,F. VanVleet,0,1
O. Anunoby,N. Powell,J. Lin,P. Siakam,K. Lowry,6,105
O. Anunoby,N. Powell,J. Lin,P. Siakam,K. Lowry,2,60
O. Anunoby,N. Powell,J. Lin,P. Siakam,K. Lowry,2,71
M. Gasol,P. McCaw,J. Lin,P. Siakam,K. Lowry,1,40
M. Gasol,P. McCaw,F. VanVleet,P. Siakam,K. Lowry,5,64
M. Gasol,P. McCaw,F. VanVleet,D. Green,K. Lowry,2,127
P. Siakam,P. McCaw,F. VanVleet,D. Green,K. Lowry,3,44
P. Siakam,O. Anunoby,F. VanVleet,D. Green,K. Lowry,10,114
P. Siakam,O. Anunoby,F. VanVleet,D. Green,K. Lowry,0,18
P. Siakam,O. Anunoby,F. VanVleet,D. Green,K. Lowry,4,77
D. Green,K. Lowry,M. Gasol,F. VanVleet,P. Siakam,8,65
D. Green,K. Lowry,M. Gasol,F. VanVleet,P. Siakam,12,308
J. Lin,K. Lowry,M. Gasol,F. VanVleet,P. Siakam,0,32
J. Lin,N. Powell,M. Gasol,F. VanVleet,P. Siakam,0,100
J. Lin,N. Powell,O. Anunoby,F. VanVleet,P. Siakam,2,34
J. Lin,N. Powell,O. Anunoby,P. McCaw,P. Siakam,4,111
J. Lin,N. Powell,O. Anunoby,P. McCaw,E. Moreland,2,70
O. Anunoby,N. Powell,E. Moreland,P. McCaw,J. Lin,3,109
O. Anunoby,N. Powell,E. Moreland,P. McCaw,J. Lin,2,128
M. Miller,N. Powell,E. Moreland,P. McCaw,J. Lin,4,103
M. Miller,C. Boucher,E. Moreland,P. McCaw,J. Lin,18,380
